net1 X,net1 Y,net5 X,net5 Y
5.000645161785658e-09,0.6451617856574745,5.000645161785658e-09,0.07885279919976183
5.000668716820052e-09,0.6687168200516257,5.000668716820052e-09,0.07950398037905985
5.000691771908015e-09,0.691771908014661,5.000691771908015e-09,0.08013836270549893
5.000715634695815e-09,0.7156346958151533,5.000715634695815e-09,0.08079316087378376
5.00074153940565e-09,0.7415394056500239,5.00074153940565e-09,0.08150307626517916
5.000770443292755e-09,0.7704432927546426,5.000770443292755e-09,0.08229522373448191
5.000803192059254e-09,0.8031920592543278,5.000803192059254e-09,0.08319402394398749
5.00084069762625e-09,0.8406976262497068,5.00084069762625e-09,0.08422640184250273
5.000884186715971e-09,0.8841867159713238,5.000884186715971e-09,0.08542910313104311
5.000935510425087e-09,0.9355104250867257,5.000935510425087e-09,0.08685820587173031
5.000967755212543e-09,0.9677552125431026,5.000967755212543e-09,0.0877622060049503
5.001e-09,1,5.001e-09,0.08867152080951
5.001001598787314e-09,1,5.001001598787314e-09,0.08867673263642928
5.001003172266475e-09,1,5.001003172266475e-09,0.08868201212721782
5.001005695346857e-09,1,5.001005695346857e-09,0.08869087109592058
5.001009063404746e-09,1,5.001009063404746e-09,0.08870338744958971
5.001015799520522e-09,1,5.001015799520522e-09,0.08873017995367401
5.00102133561245e-09,1,5.00102133561245e-09,0.08875343973403847
5.00102669145796e-09,1,5.00102669145796e-09,0.08877656195023817
5.001032337358169e-09,1,5.001032337358169e-09,0.08880120327032522
5.001038198772964e-09,1,5.001038198772964e-09,0.08882674482684244
5.0010444642886e-09,1,5.0010444642886e-09,0.08885370959681858
5.001051214463542e-09,1,5.001051214463542e-09,0.08888211244794737
5.001058498540533e-09,1,5.001058498540533e-09,0.0889117887192428
5.001066390242064e-09,1,5.001066390242064e-09,0.0889426241963064
5.001074975729853e-09,1,5.001074975729853e-09,0.0889744903443758
5.001084367869909e-09,1,5.001084367869909e-09,0.08900728058712211
5.001094714781035e-09,1,5.001094714781035e-09,0.08904090938984351
5.001106208930862e-09,1,5.001106208930862e-09,0.08907529967445399
5.001119104627906e-09,1,5.001119104627906e-09,0.08911037915354487
5.001133746060864e-09,1,5.001133746060864e-09,0.08914607694196187
5.001150615232333e-09,1,5.001150615232333e-09,0.08918232232454362
5.0011704194412e-09,1,5.0011704194412e-09,0.08921904732855042
5.00119426756833e-09,1,5.00119426756833e-09,0.08925619988245299
5.001218815149115e-09,1,5.001218815149115e-09,0.08928770604300601
5.001244281636897e-09,1,5.001244281636897e-09,0.089314474076858
5.001271230330811e-09,1,5.001271230330811e-09,0.08933748992701221
5.001300081344583e-09,1,5.001300081344583e-09,0.08935728379674086
5.001331460129321e-09,1,5.001331460129321e-09,0.08937431120253374
5.001365710506737e-09,1,5.001365710506737e-09,0.08938872094262951
5.001403370515383e-09,1,5.001403370515383e-09,0.08940070920472738
5.001445068967888e-09,1,5.001445068967888e-09,0.08941044892334647
5.001491553820392e-09,1,5.001491553820392e-09,0.08941810924392057
5.001543758334326e-09,1,5.001543758334326e-09,0.08942387425786927
5.0016028375573e-09,1,5.0016028375573e-09,0.08942795072690968
5.001670223303615e-09,1,5.001670223303615e-09,0.08943058070135959
5.001747689116847e-09,1,5.001747689116847e-09,0.08943205499580706
5.001837440248514e-09,1,5.001837440248514e-09,0.08943272489790192
5.001942280375998e-09,1,5.001942280375998e-09,0.08943300677144679
5.002058053495021e-09,1,5.002058053495021e-09,0.08943333578703752
5.002185779929876e-09,1,5.002185779929876e-09,0.08943409754099792
