gm_if_fT (L_var=3.5e-07) X,gm_if_fT (L_var=3.5e-07) Y,gm_if_fT (L_var=4e-07) X,gm_if_fT (L_var=4e-07) Y,gm_if_fT (L_var=4.5e-07) X,gm_if_fT (L_var=4.5e-07) Y,gm_if_fT (L_var=5e-07) X,gm_if_fT (L_var=5e-07) Y,gm_if_fT (L_var=5.5e-07) X,gm_if_fT (L_var=5.5e-07) Y,gm_if_fT (L_var=6e-07) X,gm_if_fT (L_var=6e-07) Y,gm_if_fT (L_var=6.5e-07) X,gm_if_fT (L_var=6.5e-07) Y,gm_if_fT (L_var=7e-07) X,gm_if_fT (L_var=7e-07) Y,gm_if_fT (L_var=7.5e-07) X,gm_if_fT (L_var=7.5e-07) Y,gm_if_fT (L_var=8e-07) X,gm_if_fT (L_var=8e-07) Y,gm_if_fT (L_var=8.5e-07) X,gm_if_fT (L_var=8.5e-07) Y,gm_if_fT (L_var=9e-07) X,gm_if_fT (L_var=9e-07) Y,gm_if_fT (L_var=9.5e-07) X,gm_if_fT (L_var=9.5e-07) Y,gm_if_fT (L_var=1e-06) X,gm_if_fT (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
1.061224,58303165171.1673,1.061224,46765327824.97686,1.061224,38336001042.75103,1.061224,32005303426.36544,1.061224,27131196969.07362,1.061224,23297033541.87697,1.061224,20224984089.84149,1.061224,17724520504.76904,1.061224,15661484713.70094,1.061224,13939126733.6077,1.061224,12486180401.01138,1.061224,11249163405.27402,1.061224,10187275758.92512,1.061224,9268937928.900139
1.102041,56377351170.75964,1.102041,45325882827.04513,1.102041,37230599612.72105,1.102041,31136183569.05104,1.102041,26433967111.2385,1.102041,22728027801.85662,1.102041,19753746763.49343,1.102041,17329259204.43085,1.102041,15326247971.76698,1.102041,13652002846.78159,1.102041,12238116541.72654,1.102041,11033171699.67774,1.102041,9997887189.365765,1.102041,9101818898.325256
1.142857,54550218204.35432,1.142857,43954751735.51248,1.142857,36173867956.64754,1.142857,30302690970.47832,1.142857,25763457552.63298,1.142857,22179493066.93399,1.142857,19298486483.3339,1.142857,16946671443.58888,1.142857,15001208585.57323,1.142857,13373187942.21209,1.142857,11996899293.76167,1.142857,10822878504.5096,1.142857,9813284598.726068,1.142857,8938752446.928051
1.183673,52810754545.99996,1.183673,42644159620.11668,1.183673,35160166846.00482,1.183673,29500614036.1715,1.183673,25116433708.59374,1.183673,21648881510.36742,1.183673,18857151187.08267,1.183673,16575072113.36467,1.183673,14684959331.83343,1.183673,13101489605.55765,1.183673,11761505375.75569,1.183673,10617395912.63861,1.183673,9632690033.99332,1.183673,8779051107.861902
1.22449,51150649531.0537,1.22449,41388361037.75676,1.22449,34185409048.70234,1.22449,28726955754.23258,1.22449,24490633592.6694,1.22449,21134440501.23026,1.22449,18428350875.51287,1.22449,16213336000.58467,1.22449,14376572864.92932,1.22449,12836131479.74877,1.22449,11531275837.5288,1.22449,10416157826.44058,1.22449,9455611957.038445,1.22449,8622284039.441505
1.265306,49563442505.08117,1.265306,40182990112.61121,1.265306,33246554801.96017,1.265306,27979533505.14224,1.265306,23884443652.25375,1.265306,20634945045.11185,1.265306,18011133142.47974,1.265306,15860706804.65788,1.265306,14075437247.70783,1.265306,12576610138.61132,1.265306,11305790366.34601,1.265306,10218808687.31983,1.265306,9281746044.228817,1.265306,8468188028.407122
1.306122,48043925686.75525,1.306122,39024600948.46546,1.306122,32341254270.29327,1.306122,27256695676.37143,1.306122,23296669667.99662,1.306122,20149509116.04467,1.306122,17604825233.65639,1.306122,15516663016.05443,1.306122,13781140639.04774,1.306122,12322594876.06878,1.306122,11084779382.1066,1.306122,10025125731.46386,1.306122,9110905929.780333,1.306122,8316605397.324676
1.346939,46587746795.14048,1.346939,37910361630.12933,1.346939,31467609759.88252,1.346939,26557133543.71684,1.346939,22726384966.2451,1.346939,19677460874.77311,1.346939,17208929738.0191,1.346939,15180829440.6407,1.346939,13493395293.29675,1.346939,12073861702.96916,1.346939,10868066168.07404,1.346939,9834967827.798353,1.346939,8942977640.757046,1.346939,8167443159.906829
1.387755,45191151718.71044,1.387755,36837857074.31687,1.387755,30624023143.23301,1.387755,25879760962.28903,1.387755,22172833593.49247,1.387755,19218263222.19811,1.387755,16823058267.32762,1.387755,14852920999.14094,1.387755,13211989314.09958,1.387755,11830251463.3153,1.387755,10655530156.03579,1.387755,9648243020.794361,1.387755,8777890689.955973,1.387755,8020647106.188885
1.428571,43850819449.07125,1.428571,35804963937.05236,1.428571,29809099783.38573,1.428571,25223639020.28763,1.428571,21635369911.1445,1.428571,18771464368.9352,1.428571,16446890266.89595,1.428571,14532707863.53075,1.428571,12936756745.95824,1.428571,11591643879.23991,1.428571,10447084177.12303,1.428571,9464888418.416744,1.428571,8615600160.691607,1.428571,7876185737.858837
