fT (L_var=3.5e-07) X,fT (L_var=3.5e-07) Y,fT (L_var=4e-07) X,fT (L_var=4e-07) Y,fT (L_var=4.5e-07) X,fT (L_var=4.5e-07) Y,fT (L_var=5e-07) X,fT (L_var=5e-07) Y,fT (L_var=5.5e-07) X,fT (L_var=5.5e-07) Y,fT (L_var=6e-07) X,fT (L_var=6e-07) Y,fT (L_var=6.5e-07) X,fT (L_var=6.5e-07) Y,fT (L_var=7e-07) X,fT (L_var=7e-07) Y,fT (L_var=7.5e-07) X,fT (L_var=7.5e-07) Y,fT (L_var=8e-07) X,fT (L_var=8e-07) Y,fT (L_var=8.5e-07) X,fT (L_var=8.5e-07) Y,fT (L_var=9e-07) X,fT (L_var=9e-07) Y,fT (L_var=9.5e-07) X,fT (L_var=9.5e-07) Y,fT (L_var=1e-06) X,fT (L_var=1e-06) Y
0.6938776,7748283395.481028,0.6938776,5915481515.361607,0.6938776,4731937007.402477,0.6938776,3903345982.399708,0.6938776,3289245861.311986,0.6938776,2815647762.350154,0.6938776,2439913207.450425,0.6938776,2135510770.234946,0.6938776,1884874595.698784,0.6938776,1675798569.221974,0.6938776,1499480706.761731,0.6938776,1349390392.173799,0.6938776,1220573101.821262,0.6938776,1109202235.068027
0.7346939,9314186213.718199,0.7346939,7151527074.863666,0.7346939,5728632209.58691,0.7346939,4722958425.712211,0.7346939,3974801867.753645,0.7346939,3397475966.295772,0.7346939,2939893949.864288,0.7346939,2569789380.068726,0.7346939,2265613225.796418,0.7346939,2012330053.969552,0.7346939,1799085637.609296,0.7346939,1617832094.100077,0.7346939,1462473676.525046,0.7346939,1328312012.688856
0.7755102,10744182748.44895,0.7755102,8288047902.765533,0.7755102,6649795679.542983,0.7755102,5483495271.656954,0.7755102,4613037353.665142,0.7755102,3940664422.970012,0.7755102,3407816507.844378,0.7755102,2977107502.567323,0.7755102,2623410949.850769,0.7755102,2329139138.176381,0.7755102,2081580093.528662,0.7755102,1871308370.915978,0.7755102,1691189313.259637,0.7755102,1535728981.88994
0.8163265,12056237794.90753,0.8163265,9336377252.619473,0.8163265,7503703145.163,0.8163265,6191614845.916284,0.8163265,5209579680.937696,0.8163265,4450080592.423072,0.8163265,3847941025.351465,0.8163265,3361221167.8348,0.8163265,2961598077.276835,0.8163265,2629193434.360677,0.8163265,2349620908.94113,0.8163265,2112208499.29102,0.8163265,1908877902.037774,0.8163265,1733410032.05966
0.8571429,13274182323.30398,0.8571429,10314046361.66194,0.8571429,8303682668.197847,0.8571429,6857759080.329244,0.8571429,5772810978.844157,0.8571429,4932587361.206391,0.8571429,4265979891.722844,0.8571429,3726952484.420275,0.8571429,3284295084.428162,0.8571429,2916051618.058297,0.8571429,2606310586.426485,0.8571429,2343259935.542589,0.8571429,2117955091.294293,0.8571429,1923508960.262631
0.8979592,14415792489.53391,0.8979592,11234473461.64287,0.8979592,9059948303.303122,0.8979592,7489842122.671152,0.8979592,6308984610.90732,0.8979592,5393219771.476791,0.8979592,4666057633.06908,0.8979592,4077732598.981015,0.8979592,3594395567.024784,0.8979592,3192183588.017807,0.8979592,2853779986.585886,0.8979592,2566318508.366947,0.8979592,2320050825.554044,0.8979592,2107468108.84895
0.9387755,15492178694.47046,0.9387755,12106037072.02683,0.9387755,9778819403.030989,0.9387755,8092694734.699268,0.9387755,6821860347.109753,0.9387755,5834959164.06774,0.9387755,5050580649.496355,0.9387755,4415535617.397523,0.9387755,3893542764.69925,0.9387755,3458975046.969559,0.9387755,3093211204.992914,0.9387755,2782403033.903528,0.9387755,2516051275.665454,0.9387755,2286064616.905218
0.9795918,16509956409.43287,0.9795918,12933626251.23903,0.9795918,10463909747.5798,0.9795918,8669022243.245687,0.9795918,7313499229.054626,0.9795918,6259405148.816483,0.9795918,5420812847.660825,0.9795918,4741376871.595243,0.9795918,4182564672.986546,0.9795918,3717110413.367148,0.9795918,3325176889.03099,0.9795918,2991997892.216059,0.9795918,2706370196.980107,0.9795918,2459655052.674584
1.020408,17473253608.16695,1.020408,13720181563.28523,1.020408,11117325947.74271,1.020408,9220354996.012405,1.020408,7785032064.52263,1.020408,6667407930.544873,1.020408,5777404042.977472,1.020408,5055760530.2709,1.020408,4461857774.780357,1.020408,3966905265.184175,1.020408,3549930930.404178,1.020408,3195309306.383406,1.020408,2891176524.196352,1.020408,2628378857.472783
1.061224,18384990582.79528,1.061224,14467701612.29825,1.061224,11740453927.11772,1.061224,9747669312.240995,1.061224,8237157500.553446,1.061224,7059474570.09304,1.061224,6120726650.958276,1.061224,5358962699.230839,1.061224,4731628165.370115,1.061224,4208514063.134829,1.061224,3767589217.705303,1.061224,3392424026.006072,1.061224,3070534778.504048,1.061224,2792283452.716522
