gm_gds (L_var=3.5e-07) X,gm_gds (L_var=3.5e-07) Y,gm_gds (L_var=4e-07) X,gm_gds (L_var=4e-07) Y,gm_gds (L_var=4.5e-07) X,gm_gds (L_var=4.5e-07) Y,gm_gds (L_var=5e-07) X,gm_gds (L_var=5e-07) Y,gm_gds (L_var=5.5e-07) X,gm_gds (L_var=5.5e-07) Y,gm_gds (L_var=6e-07) X,gm_gds (L_var=6e-07) Y,gm_gds (L_var=6.5e-07) X,gm_gds (L_var=6.5e-07) Y,gm_gds (L_var=7e-07) X,gm_gds (L_var=7e-07) Y,gm_gds (L_var=7.5e-07) X,gm_gds (L_var=7.5e-07) Y,gm_gds (L_var=8e-07) X,gm_gds (L_var=8e-07) Y,gm_gds (L_var=8.5e-07) X,gm_gds (L_var=8.5e-07) Y,gm_gds (L_var=9e-07) X,gm_gds (L_var=9e-07) Y,gm_gds (L_var=9.5e-07) X,gm_gds (L_var=9.5e-07) Y,gm_gds (L_var=1e-06) X,gm_gds (L_var=1e-06) Y
0.5714286,57.62525993040668,0.5714286,70.193945383608,0.5714286,83.3712987938185,0.5714286,96.98621616620065,0.5714286,110.744123745183,0.5714286,124.3102784415888,0.5714286,137.3800817170964,0.5714286,149.7243514331859,0.5714286,161.2066604483026,0.5714286,171.7778315280711,0.5714286,181.4569778664678,0.5714286,190.3083121908371,0.5714286,198.4200478032936,0.5714286,205.8883395361929
0.6122449,59.42415100978577,0.6122449,72.74059850336565,0.6122449,86.92232752591515,0.6122449,101.796465504184,0.6122449,117.0309238975389,0.6122449,132.2238026568782,0.6122449,146.9877986594015,0.6122449,161.0122120384989,0.6122449,174.0937941958092,0.6122449,186.1381755245182,0.6122449,197.1413034017619,0.6122449,207.1623385163641,0.6122449,216.2969702815902,0.6122449,224.6560201596564
0.6530612,60.98806153988306,0.6530612,74.96533441291847,0.6530612,90.05087898920824,0.6530612,106.080366178917,0.6530612,122.6953737813476,0.6530612,139.4352377951801,0.6530612,155.8331512450976,0.6530612,171.4948162518312,0.6530612,186.1446243096353,0.6530612,199.6364575057931,0.6530612,211.9374271216489,0.6530612,223.0977667055369,0.6530612,233.2186264893615,0.6530612,242.4249429983433
0.6938776,62.36136825390813,0.6938776,76.92382876782922,0.6938776,92.82234229180597,0.6938776,109.9090355045276,0.6938776,127.8089384128038,0.6938776,146.0111403901428,0.6938776,163.9739490108601,0.6938776,181.219377431711,0.6938776,197.3957583069642,0.6938776,212.2999648582719,0.6938776,225.8653027044481,0.6938776,238.1294472770026,0.6938776,249.1969576877042,0.6938776,259.2061547579887
0.7346939,63.57858352374288,0.7346939,78.66055184629151,0.7346939,95.29060143545748,0.7346939,113.3431748284309,0.7346939,132.435041103501,0.7346939,152.0132051550195,0.7346939,171.4665314245879,0.7346939,190.2347827338124,0.7346939,207.8881481401173,0.7346939,224.162498075606,0.7346939,238.9531399004022,0.7346939,252.2819077597016,0.7346939,264.2547706032714,0.7346939,275.0225864170964
0.7755102,64.6668359956745,0.7755102,80.21129371110335,0.7755102,97.50023955075794,0.7755102,116.4346024818152,0.7755102,136.6297269757578,0.7755102,157.4980606264766,0.7755102,178.3648420258717,0.7755102,198.5901384308509,0.7755102,217.6652680484358,0.7755102,235.2622787599345,0.7755102,251.2350789700591,0.7755102,265.5867858669229,0.7755102,278.4228961578211,0.7755102,289.9058929679792
0.8163265,65.64766434466333,0.8163265,81.60506949389945,0.8163265,99.48829994100541,0.8163265,119.2275881684288,0.8163265,140.442368710796,0.8163265,162.5172860900779,0.8163265,184.7198236124074,0.8163265,206.3336743037245,0.8163265,226.7716590701338,0.8163265,245.6402292732382,0.8163265,262.7492571920605,0.8163265,278.0806997435031,0.8163265,291.7378582759998,0.8163265,303.8939045939193
0.8571429,66.53832895135562,0.8571429,82.86556631102007,0.8571429,101.2856927256277,0.8571429,121.759999804768,0.8571429,143.9163685877938,0.8571429,167.1175788128507,0.8571429,190.5790642527276,0.8571429,213.511949227975,0.8571429,235.2517936110475,0.8571429,255.338580340592,0.8571429,273.5362155684046,0.8571429,289.8034839317711,0.8571429,304.2399512758822,0.8571429,317.0285477279486
0.8979592,67.35278200952749,0.8979592,84.01225021856186,0.8979592,102.9183205024368,0.8979592,124.0642816619071,0.8979592,147.0898298422103,0.8979592,171.3410191976548,0.8979592,195.9866366993863,0.8979592,220.169307946306,0.8979592,243.1492207711763,0.8979592,264.3997748449673,0.8979592,283.6376151012715,0.8979592,300.7967541024058,0.8979592,315.9716750829077,0.8979592,329.3541642910626
0.9387755,68.10239351481223,0.9387755,85.06122009873002,0.9387755,104.4079823130267,0.9387755,126.1682850980444,0.9387755,149.9961824767834,0.9387755,175.2253948041414,0.9387755,200.9830827560606,0.9387755,226.347542280152,0.9387755,250.5059523436774,0.9387755,272.8656341668754,0.9387755,293.0952320940241,0.9387755,311.1027683686646,0.9387755,326.9764893348912,0.9387755,340.9161783938667
0.9795918,68.7964986764939,0.9795918,86.02586950634834,0.9795918,105.7730999586409,0.9795918,128.0959693765181,0.9795918,152.664752698822,0.9795918,178.8045503429625,0.9795918,205.6054977380605,0.9795918,232.0857089650808,0.9795918,257.3620439705246,0.9795918,280.7767452440687,0.9795918,301.9501930360169,0.9795918,320.7635453795419,0.9795918,337.2978428885173,0.9795918,351.7600599165722
1.020408,69.44281090599516,1.020408,86.91739891170687,1.020408,107.0292984643481,1.020408,129.867985638501,1.020408,155.1212669685436,1.020408,182.108735163704,1.020408,209.8876735642966,1.020408,237.4200565455779,1.020408,263.7553226266871,1.020408,288.172020410965,1.020408,310.2424020081386,1.020408,329.820191671363,1.020408,346.9784287795931,1.020408,361.9305304243624
1.061224,70.04776021504239,1.061224,87.7452417811939,1.061224,108.1899025053407,1.061224,131.5021985329243,1.061224,157.3883345936927,1.061224,185.1649821885336,1.061224,213.8603279190712,1.061224,242.3840863183278,1.061224,269.7212857395593,1.061224,295.0884564618855,1.061224,318.0101873922746,1.061224,338.3124636621496,1.061224,356.0596865439425,1.061224,371.4710278149842
