Vstar (L_var=3.5e-07) X,Vstar (L_var=3.5e-07) Y,Vstar (L_var=4e-07) X,Vstar (L_var=4e-07) Y,Vstar (L_var=4.5e-07) X,Vstar (L_var=4.5e-07) Y,Vstar (L_var=5e-07) X,Vstar (L_var=5e-07) Y,Vstar (L_var=5.5e-07) X,Vstar (L_var=5.5e-07) Y,Vstar (L_var=6e-07) X,Vstar (L_var=6e-07) Y,Vstar (L_var=6.5e-07) X,Vstar (L_var=6.5e-07) Y,Vstar (L_var=7e-07) X,Vstar (L_var=7e-07) Y,Vstar (L_var=7.5e-07) X,Vstar (L_var=7.5e-07) Y,Vstar (L_var=8e-07) X,Vstar (L_var=8e-07) Y,Vstar (L_var=8.5e-07) X,Vstar (L_var=8.5e-07) Y,Vstar (L_var=9e-07) X,Vstar (L_var=9e-07) Y,Vstar (L_var=9.5e-07) X,Vstar (L_var=9.5e-07) Y,Vstar (L_var=1e-06) X,Vstar (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.4081633,0.07310437899008912,0.4081633,0.07287579828845775,0.4081633,0.07294250423275403,0.4081633,0.0731289452181518,0.4081633,0.07335439826585009,0.4081633,0.07358190883249646,0.4081633,0.07379564652693929,0.4081633,0.0739899830061969,0.4081633,0.07416405167053819,0.4081633,0.07431904502915287,0.4081633,0.07445690505062073,0.4081633,0.07457971662759436,0.4081633,0.07468944807182544,0.4081633,0.07478785729335863
0.4489796,0.07752236406593495,0.4489796,0.07721602482172701,0.4489796,0.07727423911547893,0.4489796,0.07747922204840792,0.4489796,0.07773177372177992,0.4489796,0.07798752820075557,0.4489796,0.07822808269537965,0.4489796,0.0784471638361034,0.4489796,0.07864392626477117,0.4489796,0.07881975535673623,0.4489796,0.07897679174321728,0.4489796,0.0791172859179618,0.4489796,0.0792433408965568,0.4489796,0.07935682884765936
0.4897959,0.08315320523696931,0.4897959,0.08268665158023905,0.4897959,0.08272257652606511,0.4897959,0.08296401793784745,0.4897959,0.08327974577645678,0.4897959,0.08361037967241639,0.4897959,0.0839298066051829,0.4897959,0.08422758642542116,0.4897959,0.08450058735733693,0.4897959,0.08474897369702777,0.4897959,0.0849742965953844,0.4897959,0.08517860135784699,0.4897959,0.08536402080433107,0.4897959,0.08553259781485802
0.5306122,0.09197380202259778,0.5306122,0.09114256522841599,0.5306122,0.09117032981177528,0.5306122,0.09155589308184395,0.5306122,0.09207854494323363,0.5306122,0.09263591652102429,0.5306122,0.09318074326426813,0.5306122,0.09369254560274579,0.5306122,0.09416397144497257,0.5306122,0.09459400008712246,0.5306122,0.09498453306972965,0.5306122,0.09533869065334703,0.5306122,0.09565997103257584,0.5306122,0.09595184552456097
0.5714286,0.1068939610300544,0.5714286,0.1054889343478007,0.5714286,0.1055076622332076,0.5714286,0.1061239584357523,0.5714286,0.1069676892973767,0.5714286,0.1078664364030919,0.5714286,0.1087409970811556,0.5714286,0.1095576821837811,0.5714286,0.1103050720650062,0.5714286,0.110982384019458,0.5714286,0.1115936248234782,0.5714286,0.1121446783537918,0.5714286,0.1126418867261455,0.5714286,0.1130913880306267
0.6122449,0.1295654759984737,0.6122449,0.1274579470555917,0.6122449,0.1274197583766543,0.6122449,0.1282550853350236,0.6122449,0.1294195011632592,0.6122449,0.1306599175448227,0.6122449,0.1318617001134429,0.6122449,0.1329774620114071,0.6122449,0.1339922784538509,0.6122449,0.1349063945554408,0.6122449,0.1357266381939302,0.6122449,0.1364622176068796,0.6122449,0.13712272666686,0.6122449,0.1377172528237257
0.6530612,0.1599378408142037,0.6530612,0.1570688618103723,0.6530612,0.1568865700461691,0.6530612,0.1578469352889265,0.6530612,0.1592384276255199,0.6530612,0.1607307962754489,0.6530612,0.1621758431346275,0.6530612,0.1635133001670504,0.6530612,0.164724867731566,0.6530612,0.1658115432988517,0.6530612,0.16678249316487,0.6530612,0.1676496864779471,0.6530612,0.1684253978455227,0.6530612,0.1691211237266358
0.6938776,0.1968245061996883,0.6938776,0.1931760026924699,0.6938776,0.1927413856692302,0.6938776,0.1936879858405501,0.6938776,0.1951632852735393,0.6938776,0.1967713276250341,0.6938776,0.1983348384888999,0.6938776,0.1997817831555317,0.6938776,0.2010900361307164,0.6938776,0.2022602508783349,0.6938776,0.2033026471429889,0.6938776,0.2042306952673666,0.6938776,0.2050582052934865,0.6938776,0.2057980793394592
0.7346939,0.2385599078157898,0.7346939,0.2341277328531395,0.7346939,0.2333304120122375,0.7346939,0.2341166326042279,0.7346939,0.2355246445130481,0.7346939,0.2371061966718449,0.7346939,0.238659661298411,0.7346939,0.2401019913182993,0.7346939,0.2414063147411415,0.7346939,0.2425714344961323,0.7346939,0.2436070254613386,0.7346939,0.244526574463592,0.7346939,0.2453441253560969,0.7346939,0.2460728760774956
0.7755102,0.2835505819508879,0.7755102,0.2783248263264205,0.7755102,0.2770657136639961,0.7755102,0.2775631230942662,0.7755102,0.2787734910663403,0.7755102,0.2802074258558379,0.7755102,0.281642477876746,0.7755102,0.2829847811281067,0.7755102,0.2842016034157629,0.7755102,0.2852883977256652,0.7755102,0.286252801092954,0.7755102,0.2871069774449015,0.7755102,0.2878640569976887,0.7755102,0.2885365713297818
