gm_id (L_var=3.5e-07) X,gm_id (L_var=3.5e-07) Y,gm_id (L_var=4e-07) X,gm_id (L_var=4e-07) Y,gm_id (L_var=4.5e-07) X,gm_id (L_var=4.5e-07) Y,gm_id (L_var=5e-07) X,gm_id (L_var=5e-07) Y,gm_id (L_var=5.5e-07) X,gm_id (L_var=5.5e-07) Y,gm_id (L_var=6e-07) X,gm_id (L_var=6e-07) Y,gm_id (L_var=6.5e-07) X,gm_id (L_var=6.5e-07) Y,gm_id (L_var=7e-07) X,gm_id (L_var=7e-07) Y,gm_id (L_var=7.5e-07) X,gm_id (L_var=7.5e-07) Y,gm_id (L_var=8e-07) X,gm_id (L_var=8e-07) Y,gm_id (L_var=8.5e-07) X,gm_id (L_var=8.5e-07) Y,gm_id (L_var=9e-07) X,gm_id (L_var=9e-07) Y,gm_id (L_var=9.5e-07) X,gm_id (L_var=9.5e-07) Y,gm_id (L_var=1e-06) X,gm_id (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.4081633,27.35814225671958,0.4081633,27.44395323236912,0.4081633,27.41885572804233,0.4081633,27.34895182794962,0.4081633,27.26489545659723,0.4081633,27.1805941396933,0.4081633,27.10186974606821,0.4081633,27.03068602992507,0.4081633,26.96724295599001,0.4081633,26.91100241150121,0.4081633,26.86117558392023,0.4081633,26.81694286915544,0.4081633,26.7775442399399,0.4081633,26.74230914458363
0.4489796,25.79900682980906,0.4489796,25.90135926600097,0.4489796,25.88184656223133,0.4489796,25.81337224514759,0.4489796,25.72950421996628,0.4489796,25.64512616493753,0.4489796,25.56626637249957,0.4489796,25.4948668912814,0.4489796,25.4310802498159,0.4489796,25.37434924719127,0.4489796,25.32389523371295,0.4489796,25.27892579725039,0.4489796,25.23871378177724,0.4489796,25.20261997665486
0.4897959,24.05198926848841,0.4897959,24.18770093815205,0.4897959,24.17719664921001,0.4897959,24.10683630942635,0.4897959,24.01544314710674,0.4897959,23.92047503953404,0.4897959,23.82943653627452,0.4897959,23.74518949051079,0.4897959,23.66847453429383,0.4897959,23.59910583873114,0.4897959,23.53652904622732,0.4897959,23.48007560722587,0.4897959,23.42907446433834,0.4897959,23.38289787864454
0.5306122,21.74532264642712,0.5306122,21.94364394931963,0.5306122,21.93696133521814,0.5306122,21.84457966252542,0.5306122,21.72058649746256,0.5306122,21.58989812062892,0.5306122,21.46366223252629,0.5306122,21.34641541793467,0.5306122,21.23954596762901,0.5306122,21.14299002217869,0.5306122,21.05605971165609,0.5306122,20.97784211524397,0.5306122,20.90738663634891,0.5306122,20.84378876785706
0.5714286,18.71013086920483,0.5714286,18.95933457253373,0.5714286,18.95596924116586,0.5714286,18.84588578752275,0.5714286,18.69723477376311,0.5714286,18.54144872762915,0.5714286,18.39232721498184,0.5714286,18.25522373360396,0.5714286,18.1315325085082,0.5714286,18.02087797689901,0.5714286,17.92217076166898,0.5714286,17.83410527684996,0.5714286,17.75538441452416,0.5714286,17.68481256467002
0.6122449,15.43621080065773,0.6122449,15.69144997390932,0.6122449,15.69615282182514,0.6122449,15.59392358420462,0.6122449,15.45362161052571,0.6122449,15.30691307312285,0.6122449,15.16740644386782,0.6122449,15.04014266589353,0.6122449,14.92623323581165,0.6122449,14.82509414465216,0.6122449,14.73550090544747,0.6122449,14.65607136593369,0.6122449,14.58547425810023,0.6122449,14.52250868349766
0.6530612,12.50485807372726,0.6530612,12.73326856098684,0.6530612,12.74806377251688,0.6530612,12.67050257478332,0.6530612,12.55978239563749,0.6530612,12.44316612836624,0.6530612,12.33229290714854,0.6530612,12.23142091778917,0.6530612,12.14145761682553,0.6530612,12.0618864055519,0.6530612,11.99166628372041,0.6530612,11.92963757950769,0.6530612,11.87469363637408,0.6530612,11.82584384451443
0.6938776,10.16133630215183,0.6938776,10.3532528477874,0.6938776,10.37659863788811,0.6938776,10.3258856832063,0.6938776,10.24782913034496,0.6938776,10.16408246129835,0.6938776,10.08395708609677,0.6938776,10.01092275987438,0.6938776,9.945793627984242,0.6938776,9.888250367112692,0.6938776,9.837550214451166,0.6938776,9.792847237687358,0.6938776,9.753328315428929,0.6938776,9.718263680687931
0.7346939,8.383638383798973,0.7346939,8.542345563370459,0.7346939,8.571535886608325,0.7346939,8.542750584410559,0.7346939,8.49168036803554,0.7346939,8.43503893223002,0.7346939,8.380134242708388,0.7346939,8.329793472427443,0.7346939,8.284787422170741,0.7346939,8.244993909338032,0.7346939,8.209943847934747,0.7346939,8.179070125148233,0.7346939,8.151815321019665,0.7346939,8.127673524529948
0.7755102,7.053415253954259,0.7755102,7.185848371479417,0.7755102,7.218504135901295,0.7755102,7.205568152224454,0.7755102,7.174283294834716,0.7755102,7.137569584001557,0.7755102,7.101201548422861,0.7755102,7.067517878619077,0.7755102,7.037257974488515,0.7755102,7.010449832324448,0.7755102,6.986831193838856,0.7755102,6.966044565683948,0.7755102,6.947723939067733,0.7755102,6.931530345642415
