Istar (L_var=3.5e-07) X,Istar (L_var=3.5e-07) Y,Istar (L_var=4e-07) X,Istar (L_var=4e-07) Y,Istar (L_var=4.5e-07) X,Istar (L_var=4.5e-07) Y,Istar (L_var=5e-07) X,Istar (L_var=5e-07) Y,Istar (L_var=5.5e-07) X,Istar (L_var=5.5e-07) Y,Istar (L_var=6e-07) X,Istar (L_var=6e-07) Y,Istar (L_var=6.5e-07) X,Istar (L_var=6.5e-07) Y,Istar (L_var=7e-07) X,Istar (L_var=7e-07) Y,Istar (L_var=7.5e-07) X,Istar (L_var=7.5e-07) Y,Istar (L_var=8e-07) X,Istar (L_var=8e-07) Y,Istar (L_var=8.5e-07) X,Istar (L_var=8.5e-07) Y,Istar (L_var=9e-07) X,Istar (L_var=9e-07) Y,Istar (L_var=9.5e-07) X,Istar (L_var=9.5e-07) Y,Istar (L_var=1e-06) X,Istar (L_var=1e-06) Y
0.7346939,7.387353843135515,0.7346939,6.361953275207159,0.7346939,5.708344692359596,0.7346939,5.239375594339323,0.7346939,4.8718194037513,0.7346939,4.566124503793552,0.7346939,4.302209698958806,0.7346939,4.06908851404069,0.7346939,3.8602164672036,0.7346939,3.671331478309754,0.7346939,3.499419151789553,0.7346939,3.342199214044742,0.7346939,3.197859216798547,0.7346939,3.064908614043076
0.7755102,10.15715807715597,0.7755102,8.791382238208042,0.7755102,7.892669341815347,0.7755102,7.234329343773978,0.7755102,6.712941099330965,0.7755102,6.277956471556552,0.7755102,5.90284919157119,0.7755102,5.57256011497322,0.7755102,5.277786373445399,0.7755102,5.012285257555112,0.7755102,4.771553321472797,0.7755102,4.552151301302461,0.7755102,4.351341078711542,0.7755102,4.166878346909542
0.8163265,13.31509715865468,0.8163265,11.57281539562478,0.8163265,10.39745328085163,0.8163265,9.522793660058623,0.8163265,8.824609160737079,0.8163265,8.240661354915973,0.8163265,7.737368589428006,0.8163265,7.295103365973818,0.8163265,6.901412659540803,0.8163265,6.547765307912067,0.8163265,6.227926049298689,0.8163265,5.937103624405641,0.8163265,5.671479289947507,0.8163265,5.427929291829946
0.8571429,16.83261616833884,0.8571429,14.6818115404903,0.8571429,13.2018157010434,0.8571429,12.08681762760112,0.8571429,11.19124958295133,0.8571429,10.44059498944833,0.8571429,9.793701978937527,0.8571429,9.225955768906738,0.8571429,8.721420611446609,0.8571429,8.269014134299329,0.8571429,7.860560783655372,0.8571429,7.489750541235243,0.8571429,7.151549343297852,0.8571429,6.841844100912919
0.8979592,20.68738170928486,0.8979592,18.09932860665464,0.8979592,16.28952940719577,0.8979592,14.91248229329383,0.8979592,13.80081383975219,0.8979592,12.86722715121123,0.8979592,12.06256113537373,0.8979592,11.35685527237653,0.8979592,10.7304049800973,0.8979592,10.16934920584914,0.8979592,9.663390457515987,0.8979592,9.204553732463898,0.8979592,8.78647082203206,0.8979592,8.403941808293723
0.9387755,24.86101746683256,0.9387755,21.80977211192836,0.9387755,19.64731818981191,0.9387755,17.98839462047612,0.9387755,16.64343147507427,0.9387755,15.5119247105682,0.9387755,14.53632774924396,0.9387755,13.6810247124567,0.9387755,12.92229319191029,0.9387755,12.24329408110325,0.9387755,11.63144767177925,0.9387755,11.07698414729387,0.9387755,10.57209504315949,0.9387755,10.11040608553945
0.9795918,29.33745241249749,0.9795918,25.7995281996262,0.9795918,23.2635732516689,0.9795918,21.30456299827722,0.9795918,19.71041798445945,0.9795918,18.36706846198527,0.9795918,17.20826007157291,0.9795918,16.19245303325048,0.9795918,15.29168908050978,0.9795918,14.48597507491083,0.9795918,13.7603066418691,0.9795918,13.10300305306809,0.9795918,12.50472017652067,0.9795918,11.95783028687714
1.020408,34.10195708285583,1.020408,30.0560973180955,1.020408,27.12759570790963,1.020408,24.85173790931365,1.020408,22.99369800318848,1.020408,21.42554407675447,1.020408,20.07203930930587,1.020408,18.88548727888434,1.020408,17.83350271908464,1.020408,16.89278282562337,1.020408,16.04577166558811,1.020408,15.27877354196016,1.020408,14.58082267366139,1.020408,13.94296625844191
1.061224,39.14065607987072,1.061224,34.56765454036305,1.061224,31.22921405639851,1.061224,28.62108186092517,1.061224,26.48551938204838,1.061224,24.68049221747196,1.061224,23.12154896564005,1.061224,21.75463573088451,1.061224,20.54277310694883,1.061224,19.4592112151897,1.061224,18.48372967543708,1.061224,17.60052465670432,1.061224,16.79693132061901,1.061224,16.06260698732006
1.102041,44.44030891543674,1.102041,39.32285425820925,1.102041,35.55861718806171,1.102041,32.60402813887032,1.102041,30.17833330812235,1.102041,28.12520582233151,1.102041,26.35078580251628,1.102041,24.79448981049025,1.102041,23.41459889991534,1.102041,22.18079530348509,1.102041,21.07009412154138,1.102041,20.06450024321796,1.102041,19.14958028887834,1.102041,18.31354323627554
