id (L_var=3.5e-07) X,id (L_var=3.5e-07) Y,id (L_var=4.5e-07) X,id (L_var=4.5e-07) Y,id (L_var=5.5e-07) X,id (L_var=5.5e-07) Y,id (L_var=6.5e-07) X,id (L_var=6.5e-07) Y,id (L_var=7.5e-07) X,id (L_var=7.5e-07) Y,id (L_var=8.5e-07) X,id (L_var=8.5e-07) Y,id (L_var=9.5e-07) X,id (L_var=9.5e-07) Y,id (L_var=1.05e-06) X,id (L_var=1.05e-06) Y,id (L_var=1.15e-06) X,id (L_var=1.15e-06) Y,id (L_var=1.25e-06) X,id (L_var=1.25e-06) Y,id (L_var=1.35e-06) X,id (L_var=1.35e-06) Y,id (L_var=1.45e-06) X,id (L_var=1.45e-06) Y,id (L_var=1.55e-06) X,id (L_var=1.55e-06) Y,id (L_var=1.65e-06) X,id (L_var=1.65e-06) Y,id (L_var=1.75e-06) X,id (L_var=1.75e-06) Y,id (L_var=1.85e-06) X,id (L_var=1.85e-06) Y,id (L_var=1.95e-06) X,id (L_var=1.95e-06) Y,id (L_var=2.05e-06) X,id (L_var=2.05e-06) Y,id (L_var=2.15e-06) X,id (L_var=2.15e-06) Y,id (L_var=2.25e-06) X,id (L_var=2.25e-06) Y,id (L_var=2.35e-06) X,id (L_var=2.35e-06) Y,id (L_var=2.45e-06) X,id (L_var=2.45e-06) Y,id (L_var=2.55e-06) X,id (L_var=2.55e-06) Y,id (L_var=2.65e-06) X,id (L_var=2.65e-06) Y,id (L_var=2.75e-06) X,id (L_var=2.75e-06) Y,id (L_var=2.85e-06) X,id (L_var=2.85e-06) Y,id (L_var=2.95e-06) X,id (L_var=2.95e-06) Y,id (L_var=3.05e-06) X,id (L_var=3.05e-06) Y,id (L_var=3.15e-06) X,id (L_var=3.15e-06) Y,id (L_var=3.25e-06) X,id (L_var=3.25e-06) Y,id (L_var=3.35e-06) X,id (L_var=3.35e-06) Y,id (L_var=3.45e-06) X,id (L_var=3.45e-06) Y,id (L_var=3.55e-06) X,id (L_var=3.55e-06) Y
0.4081633,7.471630488150104e-08,0.4081633,6.076302885346673e-08,0.4081633,6.088554843678475e-08,0.4081633,6.282112779921422e-08,0.4081633,6.429596388450478e-08,0.4081633,6.498743000839179e-08,0.4081633,6.500778652308624e-08,0.4081633,6.45308315051854e-08,0.4081633,6.370610002068112e-08,0.4081633,6.264718323296097e-08,0.4081633,6.143691349247528e-08,0.4081633,6.01347366868694e-08,0.4081633,5.878297606204932e-08,0.4081633,5.741157871402599e-08,0.4081633,5.604158051280347e-08,0.4081633,5.468760304072439e-08,0.4081633,5.335964666408371e-08,0.4081633,5.206437892575643e-08,0.4081633,5.080606265976144e-08,0.4081633,4.958722687077946e-08,0.4081633,4.84091534821411e-08,0.4081633,4.727223177054204e-08,0.4081633,4.617621728818791e-08,0.4081633,4.512042150156026e-08,0.4081633,4.410385092683801e-08,0.4081633,4.312530927781458e-08,0.4081633,4.218347240634595e-08,0.4081633,4.127694315087486e-08,0.4081633,4.040429129770173e-08,0.4081633,3.956408248167502e-08,0.4081633,3.875489885335028e-08,0.4081633,3.797535361049837e-08,0.4081633,3.722410095706709e-08
0.4489796,2.355298931268987e-07,0.4489796,1.905772336081391e-07,0.4489796,1.886742270829357e-07,0.4489796,1.924691485438364e-07,0.4489796,1.951402547986184e-07,0.4489796,1.957395529596267e-07,0.4489796,1.945846025010572e-07,0.4489796,1.921609138113567e-07,0.4489796,1.888798789758999e-07,0.4489796,1.850492217001956e-07,0.4489796,1.808896776206816e-07,0.4489796,1.765567707218184e-07,0.4489796,1.721588868048001e-07,0.4489796,1.677707753477943e-07,0.4489796,1.634432916797272e-07,0.4489796,1.592103412004097e-07,0.4489796,1.550938120443821e-07,0.4489796,1.511070800237545e-07,0.4489796,1.47257504265704e-07,0.4489796,1.435482091726974e-07,0.4489796,1.399793605015019e-07,0.4489796,1.365490815345143e-07,0.4489796,1.332541120962283e-07,0.4489796,1.300902830046778e-07,0.4489796,1.270528574718825e-07,0.4489796,1.241367761957097e-07,0.4489796,1.213368324878407e-07,0.4489796,1.186477964264222e-07,0.4489796,1.160645017891771e-07,0.4489796,1.135819057796978e-07,0.4489796,1.111951288664861e-07,0.4489796,1.088994801065401e-07,0.4489796,1.066904719085208e-07
0.4897959,6.979327508578373e-07,0.4897959,5.621232890420968e-07,0.4897959,5.495465638341667e-07,0.4897959,5.540067402331704e-07,0.4897959,5.5623903803975e-07,0.4897959,5.535371089977343e-07,0.4897959,5.466869705236591e-07,0.4897959,5.369295240733082e-07,0.4897959,5.253067766146093e-07,0.4897959,5.12586075104221e-07,0.4897959,4.993070004279865e-07,0.4897959,4.858405248858438e-07,0.4897959,4.7243742332599e-07,0.4897959,4.592640126998493e-07,0.4897959,4.464276365949753e-07,0.4897959,4.339946083094173e-07,0.4897959,4.220027917279563e-07,0.4897959,4.104704179420358e-07,0.4897959,3.994022703385299e-07,0.4897959,3.887940301434994e-07,0.4897959,3.786353334013451e-07,0.4897959,3.689119224878418e-07,0.4897959,3.596071590468121e-07,0.4897959,3.507030849222477e-07,0.4897959,3.421811620690355e-07,0.4897959,3.340227838325422e-07,0.4897959,3.262096230793662e-07,0.4897959,3.18723863807124e-07,0.4897959,3.115483495802026e-07,0.4897959,3.046666727328623e-07,0.4897959,2.980632215849213e-07,0.4897959,2.91723198122723e-07,0.4897959,2.856326151528255e-07
0.5306122,1.929898426698123e-06,0.5306122,1.548712703777821e-06,0.5306122,1.494089167507256e-06,0.5306122,1.48657510191623e-06,0.5306122,1.475736406424169e-06,0.5306122,1.454534793225687e-06,0.5306122,1.424846376254685e-06,0.5306122,1.389628445428536e-06,0.5306122,1.351297312087171e-06,0.5306122,1.311571223318766e-06,0.5306122,1.271608243920465e-06,0.5306122,1.23216391707936e-06,0.5306122,1.193715401267533e-06,0.5306122,1.156550436993226e-06,0.5306122,1.120829088391738e-06,0.5306122,1.086626080997725e-06,0.5306122,1.053959706082876e-06,0.5306122,1.022811522887576e-06,0.5306122,9.931397766629974e-07,0.5306122,9.648885239522883e-07,0.5306122,9.379938201372951e-07,0.5306122,9.123878918146621e-07,0.5306122,8.880019237190546e-07,0.5306122,8.647678915529168e-07,0.5306122,8.426197373851203e-07,0.5306122,8.214940924687067e-07,0.5306122,8.013306894628199e-07,0.5306122,7.820725627852379e-07,0.5306122,7.636661059077953e-07,0.5306122,7.460610336223213e-07,0.5306122,7.292102827957098e-07,0.5306122,7.130698749665999e-07,0.5306122,6.975987569888494e-07
0.5714286,4.893840482490325e-06,0.5714286,3.916759122436011e-06,0.5714286,3.716333210724059e-06,0.5714286,3.634522735337792e-06,0.5714286,3.55364086156512e-06,0.5714286,3.4575345920574e-06,0.5714286,3.349917612668178e-06,0.5714286,3.236572176590458e-06,0.5714286,3.121950732148569e-06,0.5714286,3.008982696968385e-06,0.5714286,2.89945037476308e-06,0.5714286,2.794358372112708e-06,0.5714286,2.694205058473869e-06,0.5714286,2.599166882033499e-06,0.5714286,2.509220075835033e-06,0.5714286,2.424220090058991e-06,0.5714286,2.34395308005357e-06,0.5714286,2.26816905428604e-06,0.5714286,2.196603010322249e-06,0.5714286,2.128988207423897e-06,0.5714286,2.065064294962604e-06,0.5714286,2.004582082128445e-06,0.5714286,1.947306124156247e-06,0.5714286,1.893015900395622e-06,0.5714286,1.84150609655205e-06,0.5714286,1.792586329770751e-06,0.5714286,1.746080540127427e-06,0.5714286,1.701826195519129e-06,0.5714286,1.659673405874281e-06,0.5714286,1.619484008473221e-06,0.5714286,1.581130663361442e-06,0.5714286,1.544495982613171e-06,0.5714286,1.509471707086232e-06
0.6122449,1.10498284354004e-05,0.6122449,8.828252962651827e-06,0.6122449,8.210233337800509e-06,0.6122449,7.865463713981557e-06,0.6122449,7.554638215725603e-06,0.6122449,7.242111572782968e-06,0.6122449,6.930714814020416e-06,0.6122449,6.627372174134641e-06,0.6122449,6.336963343099398e-06,0.6122449,6.062079925807387e-06,0.6122449,5.803710164208507e-06,0.6122449,5.561854995397833e-06,0.6122449,5.335950286730394e-06,0.6122449,5.125133888685768e-06,0.6122449,4.928408647184716e-06,0.6122449,4.744739362802122e-06,0.6122449,4.573108677129168e-06,0.6122449,4.412547696566457e-06,0.6122449,4.262151231649252e-06,0.6122449,4.121083795443474e-06,0.6122449,3.988580172388432e-06,0.6122449,3.863942914475515e-06,0.6122449,3.746538213803572e-06,0.6122449,3.635791033311e-06,0.6122449,3.531180023039925e-06,0.6122449,3.432232528147269e-06,0.6122449,3.338519857516307e-06,0.6122449,3.249652897187036e-06,0.6122449,3.165278101412016e-06,0.6122449,3.085073863658484e-06,0.6122449,3.008747252506448e-06,0.6122449,2.936031088203782e-06,0.6122449,2.866681331485788e-06
0.6530612,2.18278858975889e-05,0.6530612,1.742779895090752e-05,0.6530612,1.588882778645907e-05,0.6530612,1.491851287001483e-05,0.6530612,1.40882273226903e-05,0.6530612,1.332027998921781e-05,0.6530612,1.260468355152587e-05,0.6530612,1.194134141395391e-05,0.6530612,1.132948582613236e-05,0.6530612,1.076673009613113e-05,0.6530612,1.024967916209735e-05,0.6530612,9.774526164624213e-06,0.6530612,9.337432089352978e-06,0.6530612,8.934733525444881e-06,0.6530612,8.563042075536027e-06,0.6530612,8.219280860194648e-06,0.6530612,7.900686391428166e-06,0.6530612,7.604792547015551e-06,0.6530612,7.32940628294657e-06,0.6530612,7.072580496737771e-06,0.6530612,6.832586975248615e-06,0.6530612,6.607890921951538e-06,0.6530612,6.3971277355515e-06,0.6530612,6.199082251419582e-06,0.6530612,6.012670409287071e-06,0.6530612,5.836923185989836e-06,0.6530612,5.67097257796177e-06,0.6530612,5.514039403452987e-06,0.6530612,5.365422700786171e-06,0.6530612,5.224490515682945e-06,0.6530612,5.090671891720237e-06,0.6530612,4.963449899905751e-06,0.6530612,4.842355564413086e-06
0.6938776,3.799327183207303e-05,0.6938776,3.034658632139849e-05,0.6938776,2.721122980122266e-05,0.6938776,2.512679373702189e-05,0.6938776,2.34018842424472e-05,0.6938776,2.188104302632336e-05,0.6938776,2.051992475740476e-05,0.6938776,1.929716297127039e-05,0.6938776,1.819647970470472e-05,0.6938776,1.720347402631503e-05,0.6938776,1.630522456989516e-05,0.6938776,1.549027745253041e-05,0.6938776,1.474859913475678e-05,0.6938776,1.407146768322436e-05,0.6938776,1.345133238471011e-05,0.6938776,1.288166657045603e-05,0.6938776,1.235682766226031e-05,0.6938776,1.187193084022295e-05,0.6938776,1.142273836005971e-05,0.6938776,1.100556428101982e-05,0.6938776,1.061719331348973e-05,0.6938776,1.025481210452911e-05,0.6938776,9.915951230101442e-06,0.6938776,9.598436276471044e-06,0.6938776,9.300346573689144e-06,0.6938776,9.01998034095273e-06,0.6938776,8.755825192201268e-06,0.6938776,8.50653311978101e-06,0.6938776,8.270899220961209e-06,0.6938776,8.047843556783881e-06,0.6938776,7.836395637126241e-06,0.6938776,7.635681112540801e-06,0.6938776,7.444910325051194e-06
0.7346939,5.956459761056717e-05,0.7346939,4.763434469174432e-05,0.7346939,4.218323161883654e-05,0.7346939,3.846425057314389e-05,0.7346939,3.545259903112441e-05,0.7346939,3.28735247549882e-05,0.7346939,3.062264324166684e-05,0.7346939,2.864073846968177e-05,0.7346939,2.688490159906921e-05,0.7346939,2.532100119894353e-05,0.7346939,2.392107478601924e-05,0.7346939,2.266197775705408e-05,0.7346939,2.152445052914806e-05,0.7346939,2.049239565395618e-05,0.7346939,1.955229902776151e-05,0.7346939,1.869276311995319e-05,0.7346939,1.790413006212151e-05,0.7346939,1.717817707747918e-05,0.7346939,1.650787001464616e-05,0.7346939,1.588716344929015e-05,0.7346939,1.531083807423943e-05,0.7346939,1.477436796042142e-05,0.7346939,1.427381178279638e-05,0.7346939,1.380572331842098e-05,0.7346939,1.336707748897108e-05,0.7346939,1.295520898412343e-05,0.7346939,1.256776110539887e-05,0.7346939,1.220264294573293e-05,0.7346939,1.185799339530284e-05,0.7346939,1.153215076055923e-05,0.7346939,1.122362701806302e-05,0.7346939,1.093108591096641e-05,0.7346939,1.06533242442605e-05
0.7755102,8.616270316025217e-05,0.7755102,6.902628717338498e-05,0.7755102,6.058765414764177e-05,0.7755102,5.474579306832637e-05,0.7755102,5.008053583198999e-05,0.7755102,4.615828656347738e-05,0.7755102,4.278999574104344e-05,0.7755102,3.986283332343339e-05,0.7755102,3.72967823740435e-05,0.7755102,3.503076238630455e-05,0.7755102,3.301663593609415e-05,0.7755102,3.121581551095334e-05,0.7755102,2.959700815512226e-05,0.7755102,2.813459770242388e-05,0.7755102,2.680744154430924e-05,0.7755102,2.559795760036803e-05,0.7755102,2.449142213330916e-05,0.7755102,2.347542404725003e-05,0.7755102,2.253943700323349e-05,0.7755102,2.16744812230965e-05,0.7755102,2.087285420102892e-05,0.7755102,2.012791478997007e-05,0.7755102,1.943390894044687e-05,0.7755102,1.878582817110957e-05,0.7755102,1.817929393113054e-05,0.7755102,1.761046257349916e-05,0.7755102,1.707594683501717e-05,0.7755102,1.657275061325409e-05,0.7755102,1.609821451508843e-05,0.7755102,1.564997017829943e-05,0.7755102,1.522590177568797e-05,0.7755102,1.482411342900745e-05,0.7755102,1.444290150891118e-05
