gm_gds (L_var=3.5e-07) X,gm_gds (L_var=3.5e-07) Y,gm_gds (L_var=4.5e-07) X,gm_gds (L_var=4.5e-07) Y,gm_gds (L_var=5.5e-07) X,gm_gds (L_var=5.5e-07) Y,gm_gds (L_var=6.5e-07) X,gm_gds (L_var=6.5e-07) Y,gm_gds (L_var=7.5e-07) X,gm_gds (L_var=7.5e-07) Y,gm_gds (L_var=8.5e-07) X,gm_gds (L_var=8.5e-07) Y,gm_gds (L_var=9.5e-07) X,gm_gds (L_var=9.5e-07) Y,gm_gds (L_var=1.05e-06) X,gm_gds (L_var=1.05e-06) Y,gm_gds (L_var=1.15e-06) X,gm_gds (L_var=1.15e-06) Y,gm_gds (L_var=1.25e-06) X,gm_gds (L_var=1.25e-06) Y,gm_gds (L_var=1.35e-06) X,gm_gds (L_var=1.35e-06) Y,gm_gds (L_var=1.45e-06) X,gm_gds (L_var=1.45e-06) Y,gm_gds (L_var=1.55e-06) X,gm_gds (L_var=1.55e-06) Y,gm_gds (L_var=1.65e-06) X,gm_gds (L_var=1.65e-06) Y,gm_gds (L_var=1.75e-06) X,gm_gds (L_var=1.75e-06) Y,gm_gds (L_var=1.85e-06) X,gm_gds (L_var=1.85e-06) Y,gm_gds (L_var=1.95e-06) X,gm_gds (L_var=1.95e-06) Y,gm_gds (L_var=2.05e-06) X,gm_gds (L_var=2.05e-06) Y,gm_gds (L_var=2.15e-06) X,gm_gds (L_var=2.15e-06) Y,gm_gds (L_var=2.25e-06) X,gm_gds (L_var=2.25e-06) Y,gm_gds (L_var=2.35e-06) X,gm_gds (L_var=2.35e-06) Y,gm_gds (L_var=2.45e-06) X,gm_gds (L_var=2.45e-06) Y,gm_gds (L_var=2.55e-06) X,gm_gds (L_var=2.55e-06) Y,gm_gds (L_var=2.65e-06) X,gm_gds (L_var=2.65e-06) Y,gm_gds (L_var=2.75e-06) X,gm_gds (L_var=2.75e-06) Y,gm_gds (L_var=2.85e-06) X,gm_gds (L_var=2.85e-06) Y,gm_gds (L_var=2.95e-06) X,gm_gds (L_var=2.95e-06) Y,gm_gds (L_var=3.05e-06) X,gm_gds (L_var=3.05e-06) Y,gm_gds (L_var=3.15e-06) X,gm_gds (L_var=3.15e-06) Y,gm_gds (L_var=3.25e-06) X,gm_gds (L_var=3.25e-06) Y,gm_gds (L_var=3.35e-06) X,gm_gds (L_var=3.35e-06) Y,gm_gds (L_var=3.45e-06) X,gm_gds (L_var=3.45e-06) Y,gm_gds (L_var=3.55e-06) X,gm_gds (L_var=3.55e-06) Y
0.4489796,60.37873113849057,0.4489796,84.13855581388762,0.4489796,107.3065407796829,0.4489796,128.0999467257359,0.4489796,145.4934048018852,0.4489796,159.5850132476593,0.4489796,171.054384001115,0.4489796,180.6495921297299,0.4489796,188.9636164985733,0.4489796,196.4033883896981,0.4489796,203.2290702488968,0.4489796,209.601884961535,0.4489796,215.6212753555244,0.4489796,221.3496210977003,0.4489796,226.827500654298,0.4489796,232.0827412898331,0.4489796,237.1356613727835,0.4489796,242.0020665768464,0.4489796,246.6949517344943,0.4489796,251.2254680997025,0.4489796,255.6034779774915,0.4489796,259.8378791014458,0.4489796,263.9368009142867,0.4489796,267.9077294711751,0.4489796,271.757592238676,0.4489796,275.492819943314,0.4489796,279.1193948512467,0.4489796,282.6428906125354,0.4489796,286.0685064986371,0.4489796,289.4010976164968,0.4489796,292.6452020138483,0.4489796,295.8050652322867,0.4489796,298.8846626710494
0.4897959,62.92111757852315,0.4897959,89.04524485118044,0.4897959,115.7479698537254,0.4897959,140.6087409298108,0.4897959,161.8509037600084,0.4897959,179.166859056395,0.4897959,193.1948189526578,0.4897959,204.8155215715364,0.4897959,214.7811054964203,0.4897959,223.6254691886391,0.4897959,231.6953035341537,0.4897959,239.2065198629057,0.4897959,246.2919015219408,0.4897959,253.033900806938,0.4897959,259.4852430532605,0.4897959,265.6812649174188,0.4897959,271.6471045312348,0.4897959,277.4018263029146,0.4897959,282.9607682913357,0.4897959,288.3368761949048,0.4897959,293.5414660102289,0.4897959,298.5846669200217,0.4897959,303.4756858765032,0.4897959,308.2229727219486,0.4897959,312.8343294820384,0.4897959,317.3169878568253,0.4897959,321.6776680995395,0.4897959,325.9226265234353,0.4897959,330.0576956344681,0.4897959,334.0883191248976,0.4897959,338.0195830107708,0.4897959,341.8562436837031,0.4897959,345.6027533654011
0.5306122,65.04317769952019,0.5306122,93.22641182754651,0.5306122,123.1738304588532,0.5306122,151.9421383511707,0.5306122,176.9865406053719,0.5306122,197.5091599658762,0.5306122,214.0488489044602,0.5306122,227.6044730178657,0.5306122,239.0948870765769,0.5306122,249.1931762261879,0.5306122,258.3426444946243,0.5306122,266.8207264511639,0.5306122,274.7978045477441,0.5306122,282.3789624169432,0.5306122,289.6305921420411,0.5306122,296.596444836217,0.5306122,303.3070222896892,0.5306122,309.7849773991225,0.5306122,316.0481913824542,0.5306122,322.1115230188105,0.5306122,327.987807690932,0.5306122,333.6884357917169,0.5306122,339.223696188827,0.5306122,344.602988436013,0.5306122,349.8349612413975,0.5306122,354.9276089395433,0.5306122,359.8883434468951,0.5306122,364.7240513310792,0.5306122,369.4411413313045,0.5306122,374.0455853231705,0.5306122,378.5429544519384,0.5306122,382.9384514654139,0.5306122,387.2369398989528
0.5714286,66.84445182663984,0.5714286,96.82304204589251,0.5714286,129.7308376135638,0.5714286,162.2129434743678,0.5714286,190.9676759651487,0.5714286,214.6429688002153,0.5714286,233.624469178343,0.5714286,249.0119499056136,0.5714286,261.8952078172238,0.5714286,273.0961996152566,0.5714286,283.1631718962159,0.5714286,292.4407326676924,0.5714286,301.1403344097506,0.5714286,309.3917325467374,0.5714286,317.2761661717593,0.5714286,324.8464824875983,0.5714286,332.1389420995277,0.5714286,339.1800153222117,0.5714286,345.9902566268615,0.5714286,352.5865070835898,0.5714286,358.9831515603616,0.5714286,365.1928455362287,0.5714286,371.2269454032576,0.5714286,377.0957729279823,0.5714286,382.8087864174263,0.5714286,388.3746986902969,0.5714286,393.8015639817477,0.5714286,399.0968460095854,0.5714286,404.2674740018447,0.5714286,409.3198905201429,0.5714286,414.2600932956404,0.5714286,419.0936724082525,0.5714286,423.8258436546247
0.6122449,68.39685200798228,0.6122449,99.94449220206415,0.6122449,135.5431919795529,0.6122449,171.5270674475293,0.6122449,203.867896219441,0.6122449,230.6149399282123,0.6122449,251.9530398036898,0.6122449,269.0644874358649,0.6122449,283.211463109023,0.6122449,295.3720412593354,0.6122449,306.2059526236094,0.6122449,316.1293960385091,0.6122449,325.397537877742,0.6122449,334.1662963784007,0.6122449,342.5325712843349,0.6122449,350.5587387243623,0.6122449,358.287039868959,0.6122449,365.7478665071541,0.6122449,372.9644834191606,0.6122449,379.9557116605486,0.6122449,386.7374592932038,0.6122449,393.3236054614663,0.6122449,399.7265228768421,0.6122449,405.9573979362232,0.6122449,412.0264368722829,0.6122449,417.9430068339031,0.6122449,423.7157389121189,0.6122449,429.3526080758168,0.6122449,434.8609983648289,0.6122449,440.2477580697611,0.6122449,445.5192476450513,0.6122449,450.6813820144643,0.6122449,455.7396683250671
0.6530612,69.75326239758157,0.6530612,102.6763041398068,0.6530612,140.7157801090927,0.6530612,179.98215239578,0.6530612,215.7628654385963,0.6530612,245.4811068217901,0.6530612,269.0806190944338,0.6530612,287.8078097029393,0.6530612,303.0964312230086,0.6530612,316.0856651653723,0.6530612,327.5515442459136,0.6530612,337.9850781268211,0.6530612,347.6869923067881,0.6530612,356.8403331606053,0.6530612,365.5581266154641,0.6530612,373.9124752392487,0.6530612,381.9516584344443,0.6530612,389.7099748951503,0.6530612,397.2133478528542,0.6530612,404.4825072467232,0.6530612,411.5348034584648,0.6530612,418.3852537931645,0.6530612,425.0471600771548,0.6530612,431.5324861959457,0.6530612,437.85210034793,0.6530612,444.0159399686432,0.6530612,450.0331313691447,0.6530612,455.9120818645216,0.6530612,461.6605543377821,0.6530612,467.2857298917488,0.6530612,472.7942618895989,0.6530612,478.1923233864895,0.6530612,483.4856492329504
0.6938776,70.95323452856431,0.6938776,105.0860041687018,0.6938776,145.3372035308572,0.6938776,187.6672446176266,0.6938776,226.7278397341836,0.6938776,259.302998067588,0.6938776,285.0626524161374,0.6938776,305.2997223775649,0.6938776,321.6169526095646,0.6938776,335.3175938865613,0.6938776,347.2972006950156,0.6938776,358.1237032531974,0.6938776,368.144500364463,0.6938776,377.5702593011782,0.6938776,386.5302909150194,0.6938776,395.1064184097673,0.6938776,403.3528780330137,0.6938776,411.3077621614858,0.6938776,418.9995280485739,0.6938776,426.4506883291733,0.6938776,433.6799119951655,0.6938776,440.7032351505899,0.6938776,447.534774525294,0.6938776,454.1871627507299,0.6938776,460.6718268017866,0.6938776,466.9991767274396,0.6938776,473.1787417910122,0.6938776,479.2192746334114,0.6938776,485.1288350165407,0.6938776,490.9148597339475,0.6938776,496.5842225513068,0.6938776,502.1432865291331,0.6938776,507.5979502375986
0.7346939,72.02681090216591,0.7346939,107.2273773995853,0.7346939,149.4824098972525,0.7346939,194.6629333174571,0.7346939,236.8360190931214,0.7346939,272.1448939860758,0.7346939,299.9602904638735,0.7346939,321.6053619779618,0.7346939,338.8479177394441,0.7346939,353.1564653243646,0.7346939,365.5478655610818,0.7346939,376.6680860510619,0.7346939,386.9116704466028,0.7346939,396.5169940614598,0.7346939,405.6295553553364,0.7346939,414.3407278732325,0.7346939,422.7105145723616,0.7346939,430.7806139048781,0.7346939,438.5818401043276,0.7346939,446.1383240321155,0.7346939,453.4699011618112,0.7346939,460.5934857086136,0.7346939,467.523879077408,0.7346939,474.2742619864617,0.7346939,480.8565083252926,0.7346939,487.2813970171478,0.7346939,493.5587640595139,0.7346939,499.6976181756102,0.7346939,505.7062332306531,0.7346939,511.5922249307158,0.7346939,517.3626162218609,0.7346939,523.0238940911024,0.7346939,528.5820595083951
0.7755102,72.99713600820077,0.7755102,109.143631075239,0.7755102,153.2149165113402,0.7755102,201.0417322760605,0.7755102,246.1574332715768,0.7755102,284.0717862308686,0.7755102,313.8376642908904,0.7755102,336.7938009698683,0.7755102,354.8681524890539,0.7755102,369.6941535319044,0.7755102,382.4105020512955,0.7755102,393.7414588632415,0.7755102,404.1286381032949,0.7755102,413.8378754926736,0.7755102,423.0305558559919,0.7755102,431.8073072661333,0.7755102,440.2336303698298,0.7755102,448.3545912574781,0.7755102,456.2031505956089,0.7755102,463.8048706013408,0.7755102,471.1805861242779,0.7755102,478.3479390077127,0.7755102,485.3222790608533,0.7755102,492.1172111875401,0.7755102,498.7449432185476,0.7755102,505.2165197422703,0.7755102,511.5419890743116,0.7755102,517.7305295610054,0.7755102,523.7905499357787,0.7755102,529.7297721516891,0.7755102,535.5553016515807,0.7755102,541.2736881164079,0.7755102,546.8909786508907
0.8163265,73.88227079654487,0.8163265,110.8697546176783,0.8163265,156.5886712476317,0.8163265,206.8685979195471,0.8163265,254.7582211568124,0.8163265,295.1478568194863,0.8163265,326.7598300080753,0.8163265,350.935554586249,0.8163265,369.7575220289683,0.8163265,385.0224967460327,0.8163265,397.9904767945437,0.8163265,409.4635460223437,0.8163265,419.9298652464308,0.8163265,429.6822166482615,0.8163265,438.8974151107216,0.8163265,447.6849574247941,0.8163265,456.1155205610746,0.8163265,464.2372694324563,0.8163265,472.0850833212239,0.8163265,479.6857597403822,0.8163265,487.0609617950547,0.8163265,494.2289078951893,0.8163265,501.2053617588011,0.8163265,508.004231993979,0.8163265,514.6379519795836,0.8163265,521.1177341543982,0.8163265,527.4537506882197,0.8163265,533.6552694106707,0.8163265,539.73076122664,0.8163265,545.6879883162687,0.8163265,551.5340786015117,0.8163265,557.275589842799,0.8163265,562.9185655373861
