fT (L_var=3.5e-07) X,fT (L_var=3.5e-07) Y,fT (L_var=4.5e-07) X,fT (L_var=4.5e-07) Y,fT (L_var=5.5e-07) X,fT (L_var=5.5e-07) Y,fT (L_var=6.5e-07) X,fT (L_var=6.5e-07) Y,fT (L_var=7.5e-07) X,fT (L_var=7.5e-07) Y,fT (L_var=8.5e-07) X,fT (L_var=8.5e-07) Y,fT (L_var=9.5e-07) X,fT (L_var=9.5e-07) Y,fT (L_var=1.05e-06) X,fT (L_var=1.05e-06) Y,fT (L_var=1.15e-06) X,fT (L_var=1.15e-06) Y,fT (L_var=1.25e-06) X,fT (L_var=1.25e-06) Y,fT (L_var=1.35e-06) X,fT (L_var=1.35e-06) Y,fT (L_var=1.45e-06) X,fT (L_var=1.45e-06) Y,fT (L_var=1.55e-06) X,fT (L_var=1.55e-06) Y,fT (L_var=1.65e-06) X,fT (L_var=1.65e-06) Y,fT (L_var=1.75e-06) X,fT (L_var=1.75e-06) Y,fT (L_var=1.85e-06) X,fT (L_var=1.85e-06) Y,fT (L_var=1.95e-06) X,fT (L_var=1.95e-06) Y,fT (L_var=2.05e-06) X,fT (L_var=2.05e-06) Y,fT (L_var=2.15e-06) X,fT (L_var=2.15e-06) Y,fT (L_var=2.25e-06) X,fT (L_var=2.25e-06) Y,fT (L_var=2.35e-06) X,fT (L_var=2.35e-06) Y,fT (L_var=2.45e-06) X,fT (L_var=2.45e-06) Y,fT (L_var=2.55e-06) X,fT (L_var=2.55e-06) Y,fT (L_var=2.65e-06) X,fT (L_var=2.65e-06) Y,fT (L_var=2.75e-06) X,fT (L_var=2.75e-06) Y,fT (L_var=2.85e-06) X,fT (L_var=2.85e-06) Y,fT (L_var=2.95e-06) X,fT (L_var=2.95e-06) Y,fT (L_var=3.05e-06) X,fT (L_var=3.05e-06) Y,fT (L_var=3.15e-06) X,fT (L_var=3.15e-06) Y,fT (L_var=3.25e-06) X,fT (L_var=3.25e-06) Y,fT (L_var=3.35e-06) X,fT (L_var=3.35e-06) Y,fT (L_var=3.45e-06) X,fT (L_var=3.45e-06) Y,fT (L_var=3.55e-06) X,fT (L_var=3.55e-06) Y
0.4081633,134836241.6987464,0.4081633,108339971.1715547,0.4081633,105553806.5708366,0.4081633,105120930.6447168,0.4081633,103413752.7902473,0.4081633,100212132.031499,0.4081633,95955558.60268307,0.4081633,91097485.61118847,0.4081633,85980665.34685272,0.4081633,80838692.71301858,0.4081633,75821300.00342728,0.4081633,71018751.61345835,0.4081633,66480738.27635182,0.4081633,62230000.59820727,0.4081633,58271836.09371334,0.4081633,54600606.17243117,0.4081633,51204125.37253191,0.4081633,48066582.15994154,0.4081633,45170453.30597423,0.4081633,42497734.48217753,0.4081633,40030709.82336482,0.4081633,37752413.10581245,0.4081633,35646884.59677535,0.4081633,33699294.20775787,0.4081633,31895978.70104986,0.4081633,30224425.0789876,0.4081633,28673221.64514646,0.4081633,27231990.99109247,0.4081633,25891314.25162675,0.4081633,24642652.64737489,0.4081633,23478270.09197897,0.4081633,22391159.13792764,0.4081633,21374971.53518595
0.4489796,380292114.5960414,0.4489796,296600060.1437715,0.4489796,272954883.0600438,0.4489796,254417593.48998,0.4489796,233849611.5845828,0.4489796,212149286.9906996,0.4489796,190897751.7767913,0.4489796,171093169.593932,0.4489796,153179532.2287125,0.4489796,137254043.1193172,0.4489796,123230119.38332,0.4489796,110937963.8317021,0.4489796,100180561.4073074,0.4489796,90762514.52433093,0.4489796,82503461.70977302,0.4489796,75243161.40586826,0.4489796,68842293.00271036,0.4489796,63181216.30094257,0.4489796,58157891.49691734,0.4489796,53685580.39076403,0.4489796,49690630.81778288,0.4489796,46110475.43636612,0.4489796,42891887.13873656,0.4489796,39989489.34008873,0.4489796,37364499.51045694,0.4489796,34983677.06784324,0.4489796,32818445.86683601,0.4489796,30844163.5992577,0.4489796,29039513.67801981,0.4489796,27385998.68690546,0.4489796,25867517.80946727,0.4489796,24470013.61605204,0.4489796,23181176.13697659
0.4897959,888500836.0655762,0.4897959,649360833.0458746,0.4897959,538301692.9968963,0.4897959,451232245.8412305,0.4897959,377619103.4332119,0.4897959,316749008.5601453,0.4897959,267321931.3180198,0.4897959,227423903.1158697,0.4897959,195156081.9555468,0.4897959,168901754.2494215,0.4897959,147370433.6875777,0.4897959,129559597.8329784,0.4897959,114697786.877909,0.4897959,102191712.310463,0.4897959,91583278.11923397,0.4897959,82516503.9184086,0.4897959,74712656.26346646,0.4897959,67951714.89454636,0.4897959,62058577.02655214,0.4897959,56892758.29977519,0.4897959,52340663.64294815,0.4897959,48309748.7563902,0.4897959,44724077.88067377,0.4897959,41520918.51212823,0.4897959,38648111.22638123,0.4897959,36062022.95707463,0.4897959,33725942.64495368,0.4897959,31608814.7285519,0.4897959,29684232.50374696,0.4897959,27929632.78304401,0.4897959,26325647.55282979,0.4897959,24855578.88701522,0.4897959,23504971.24429681
0.5306122,1570973853.854652,0.5306122,1049183008.878648,0.5306122,781924645.9719571,0.5306122,604487520.2997792,0.5306122,479225820.1290625,0.5306122,388238189.0333465,0.5306122,320490313.8413513,0.5306122,268872817.926241,0.5306122,228719565.5641756,0.5306122,196903684.0388624,0.5306122,171281741.41179,0.5306122,150351036.1618814,0.5306122,133035508.1703283,0.5306122,118549445.864245,0.5306122,106308878.6583733,0.5306122,95872743.70285682,0.5306122,86903024.43778245,0.5306122,79137226.39161541,0.5306122,72369034.70142724,0.5306122,66434498.86488102,0.5306122,61202016.54345069,0.5306122,56564970.84849682,0.5306122,52436248.788539,0.5306122,48744111.89892725,0.5306122,45429051.36757129,0.5306122,42441368.54774734,0.5306122,39739295.90951551,0.5306122,37287524.82713695,0.5306122,35056042.60536191,0.5306122,33019206.69880936,0.5306122,31155002.41538387,0.5306122,29444443.69315556,0.5306122,27871086.28068098
0.5714286,2272910020.03077,0.5714286,1430801578.274477,0.5714286,1028058692.838284,0.5714286,784818776.0982757,0.5714286,621896101.3342549,0.5714286,506010922.2839587,0.5714286,420163847.8644381,0.5714286,354621676.1668932,0.5714286,303378027.4633714,0.5714286,262525308.6590991,0.5714286,229418231.6681226,0.5714286,202208613.7029943,0.5714286,179571134.6232759,0.5714286,160534244.4824307,0.5714286,144372067.9810594,0.5714286,130533190.5964487,0.5714286,118592521.9737094,0.5714286,108218024.7585352,0.5714286,99147262.86635406,0.5714286,91170580.58525643,0.5714286,84118847.69601604,0.5714286,77854404.23600659,0.5714286,72264283.05961257,0.5714286,67255077.32806838,0.5714286,62749011.53911,0.5714286,58680903.78612977,0.5714286,54995795.33070185,0.5714286,51647084.98190945,0.5714286,48595049.00783934,0.5714286,45805658.11459123,0.5714286,43249625.23654948,0.5714286,40901634.06031482,0.5714286,38739710.10804602
0.6122449,3260658592.978245,0.6122449,2014621304.832189,0.6122449,1447705284.532722,0.6122449,1110652321.029008,0.6122449,883938071.5983845,0.6122449,721327275.272639,0.6122449,599993763.6206744,0.6122449,506870057.873736,0.6122449,433799174.8649157,0.6122449,375406059.1619318,0.6122449,328011850.653414,0.6122449,289023877.3259939,0.6122449,256570590.5929456,0.6122449,229273135.6883339,0.6122449,206097450.3906969,0.6122449,186255796.2881509,0.6122449,169139630.5544202,0.6122449,154272890.39465,0.6122449,141278884.68388,0.6122449,129856443.0739619,0.6122449,119762478.7985659,0.6122449,110799068.2949147,0.6122449,102803759.3876012,0.6122449,95642218.75313002,0.6122449,89202595.60656305,0.6122449,83391159.083305,0.6122449,78128891.03601855,0.6122449,73348802.64763932,0.6122449,68993804.5012771,0.6122449,65015003.52272052,0.6122449,61370331.84516849,0.6122449,58023435.74059416,0.6122449,54942769.78490754
0.6530612,4689209571.554611,0.6530612,2888959105.746873,0.6530612,2064876172.211155,0.6530612,1574308622.647298,0.6530612,1245160552.401395,0.6530612,1010286141.813473,0.6530612,836088104.4636434,0.6530612,703192619.9578903,0.6530612,599497279.1456848,0.6530612,517051457.2093973,0.6530612,450439433.32582,0.6530612,395865008.4136764,0.6530612,350602754.0874722,0.6530612,312655240.5585805,0.6530612,280531887.8787569,0.6530612,253102381.2546938,0.6530612,229497217.5016104,0.6530612,209038827.5476165,0.6530612,191192991.5242868,0.6530612,175533996.9118474,0.6530612,161719275.0245451,0.6530612,149470683.2395074,0.6530612,138560517.500246,0.6530612,128800938.4497691,0.6530612,120035892.4991874,0.6530612,112134877.9023236,0.6530612,104988090.1421044,0.6530612,98502608.97148862,0.6530612,92599379.5748221,0.6530612,87210804.50853777,0.6530612,82278809.31312458,0.6530612,77753278.3331486,0.6530612,73590782.00581175
0.6938776,6352406169.548321,0.6938776,3920068991.088256,0.6938776,2775900272.998604,0.6938776,2095396573.052206,0.6938776,1643181028.459986,0.6938776,1323938296.525944,0.6938776,1089441800.252614,0.6938776,912004086.2819322,0.6938776,774501579.987409,0.6938776,665806851.5180398,0.6938776,578416761.6095022,0.6938776,507119070.2990478,0.6938776,448201078.1841786,0.6938776,398960429.9740611,0.6938776,357392578.6861506,0.6938776,321985469.62274,0.6938776,291581353.4297287,0.6938776,265281768.6775076,0.6938776,242380947.8620564,0.6938776,222318335.0162651,0.6938776,204644198.8904779,0.6938776,188994374.338692,0.6938776,175071466.4850544,0.6938776,162630696.3467033,0.6938776,151469123.9210602,0.6938776,141417358.9247698,0.6938776,132333124.4753653,0.6938776,124096215.4114771,0.6938776,116604516.5467818,0.6938776,109770833.8189098,0.6938776,103520354.1870248,0.6938776,97788595.7353071,0.6938776,92519742.83895788
0.7346939,8007228886.958549,0.7346939,4957487966.475331,0.7346939,3485325298.015407,0.7346939,2610747578.258764,0.7346939,2034303619.424685,0.7346939,1630811634.92688,0.7346939,1336585693.838714,0.7346939,1115282488.287164,0.7346939,944626632.0058917,0.7346939,810270076.1429579,0.7346939,702613188.3333601,0.7346939,615031812.8085288,0.7346939,542834407.8117851,0.7346939,482622815.7794487,0.7346939,431886967.3401803,0.7346939,388740405.2993798,0.7346939,351743323.8702644,0.7346939,319781517.5787447,0.7346939,291981927.1674988,0.7346939,267652665.4296146,0.7346939,246239739.6498729,0.7346939,227295364.3388411,0.7346939,210454449.5547369,0.7346939,195416941.239173,0.7346939,181934407.0957413,0.7346939,169799740.9657935,0.7346939,158839184.2672501,0.7346939,148906087.4414248,0.7346939,139875991.0675076,0.7346939,131642717.1355377,0.7346939,124115240.2683377,0.7346939,117215166.0421683,0.7346939,110874685.4700058
0.7755102,9541488283.603622,0.7755102,5930713486.748897,0.7755102,4152695040.896272,0.7755102,3096305653.041115,0.7755102,2403415450.972361,0.7755102,1920908436.900777,0.7755102,1570608867.132386,0.7755102,1308072716.766275,0.7755102,1106209636.267584,0.7755102,947663263.0250825,0.7755102,820875547.3260962,0.7755102,717902751.3422121,0.7755102,633137801.8243643,0.7755102,562531140.7290277,0.7755102,503098957.3124376,0.7755102,452603561.8407502,0.7755102,409340267.8729075,0.7755102,371992052.1930553,0.7755102,339528426.8414694,0.7755102,311133794.3206795,0.7755102,286155857.2053835,0.7755102,264067915.1825617,0.7755102,244440936.792086,0.7755102,226922614.1811576,0.7755102,211221475.0254817,0.7755102,197094703.2085608,0.7755102,184338711.1531407,0.7755102,172781775.7980437,0.7755102,162278237.8142044,0.7755102,152703896.103331,0.7755102,143952324.2431453,0.7755102,135931903.8868257,0.7755102,128563419.9993567
