gm_id (L_var=3.5e-07) X,gm_id (L_var=3.5e-07) Y,gm_id (L_var=4.5e-07) X,gm_id (L_var=4.5e-07) Y,gm_id (L_var=5.5e-07) X,gm_id (L_var=5.5e-07) Y,gm_id (L_var=6.5e-07) X,gm_id (L_var=6.5e-07) Y,gm_id (L_var=7.5e-07) X,gm_id (L_var=7.5e-07) Y,gm_id (L_var=8.5e-07) X,gm_id (L_var=8.5e-07) Y,gm_id (L_var=9.5e-07) X,gm_id (L_var=9.5e-07) Y,gm_id (L_var=1.05e-06) X,gm_id (L_var=1.05e-06) Y,gm_id (L_var=1.15e-06) X,gm_id (L_var=1.15e-06) Y,gm_id (L_var=1.25e-06) X,gm_id (L_var=1.25e-06) Y,gm_id (L_var=1.35e-06) X,gm_id (L_var=1.35e-06) Y,gm_id (L_var=1.45e-06) X,gm_id (L_var=1.45e-06) Y,gm_id (L_var=1.55e-06) X,gm_id (L_var=1.55e-06) Y,gm_id (L_var=1.65e-06) X,gm_id (L_var=1.65e-06) Y,gm_id (L_var=1.75e-06) X,gm_id (L_var=1.75e-06) Y,gm_id (L_var=1.85e-06) X,gm_id (L_var=1.85e-06) Y,gm_id (L_var=1.95e-06) X,gm_id (L_var=1.95e-06) Y,gm_id (L_var=2.05e-06) X,gm_id (L_var=2.05e-06) Y,gm_id (L_var=2.15e-06) X,gm_id (L_var=2.15e-06) Y,gm_id (L_var=2.25e-06) X,gm_id (L_var=2.25e-06) Y,gm_id (L_var=2.35e-06) X,gm_id (L_var=2.35e-06) Y,gm_id (L_var=2.45e-06) X,gm_id (L_var=2.45e-06) Y,gm_id (L_var=2.55e-06) X,gm_id (L_var=2.55e-06) Y,gm_id (L_var=2.65e-06) X,gm_id (L_var=2.65e-06) Y,gm_id (L_var=2.75e-06) X,gm_id (L_var=2.75e-06) Y,gm_id (L_var=2.85e-06) X,gm_id (L_var=2.85e-06) Y,gm_id (L_var=2.95e-06) X,gm_id (L_var=2.95e-06) Y,gm_id (L_var=3.05e-06) X,gm_id (L_var=3.05e-06) Y,gm_id (L_var=3.15e-06) X,gm_id (L_var=3.15e-06) Y,gm_id (L_var=3.25e-06) X,gm_id (L_var=3.25e-06) Y,gm_id (L_var=3.35e-06) X,gm_id (L_var=3.35e-06) Y,gm_id (L_var=3.45e-06) X,gm_id (L_var=3.45e-06) Y,gm_id (L_var=3.55e-06) X,gm_id (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.4081633,28.49431650050505,0.4081633,28.45797689583383,0.4081633,28.24045594282082,0.4081633,28.01571613787369,0.4081633,27.81985462261833,0.4081633,27.65528970979324,0.4081633,27.51728451387433,0.4081633,27.40064235642898,0.4081633,27.30106557069579,0.4081633,27.21521313474753,0.4081633,27.1405131239237,0.4081633,27.07497464200788,0.4081633,27.01704106148938,0.4081633,26.96548187331373,0.4081633,26.91931378960864,0.4081633,26.87774293871484,0.4081633,26.84012213867133,0.4081633,26.80591899496585,0.4081633,26.77469183293576,0.4081633,26.7460713550257,0.4081633,26.7197465224791,0.4081633,26.69545358492588,0.4081633,26.67296747832937,0.4081633,26.65209502155077,0.4081633,26.63266949126966,0.4081633,26.61454626242766,0.4081633,26.5975992792488,0.4081633,26.58171817885523,0.4081633,26.56680593152301,0.4081633,26.55277689288706,0.4081633,26.53955518685772,0.4081633,26.52707335574888,0.4081633,26.51527122763134
0.4489796,27.09856871982119,0.4489796,27.06235511845126,0.4489796,26.81191257486937,0.4489796,26.5608044476428,0.4489796,26.34763995927042,0.4489796,26.17170946442042,0.4489796,26.02583461373333,0.4489796,25.90342047998623,0.4489796,25.79939584735248,0.4489796,25.70997364051695,0.4489796,25.63231012023695,0.4489796,25.56424097538125,0.4489796,25.50409519177845,0.4489796,25.45056492792769,0.4489796,25.40261354378448,0.4489796,25.35940965685593,0.4489796,25.32027919933953,0.4489796,25.28467010977501,0.4489796,25.25212601254316,0.4489796,25.22226636979058,0.4489796,25.19477134806214,0.4489796,25.16937015718845,0.4489796,25.14583197374188,0.4489796,25.12395880827664,0.4489796,25.10357984911502,0.4489796,25.08454693858892,0.4489796,25.06673092586349,0.4489796,25.05001870425829,0.4489796,25.03431078754109,0.4489796,25.01951931396129,0.4489796,25.00556639228383,0.4489796,24.99238272319431,0.4489796,24.97990644390075
0.4897959,25.51225805586256,0.4897959,25.4926850886295,0.4897959,25.23995168055854,0.4897959,24.98175254228232,0.4897959,24.75718480202865,0.4897959,24.56635782344934,0.4897959,24.40353019854333,0.4897959,24.2633621598013,0.4897959,24.14162657633577,0.4897959,24.03502998006971,0.4897959,23.94098622103788,0.4897959,23.85744466215665,0.4897959,23.78276471383356,0.4897959,23.71562269642152,0.4897959,23.65494168603373,0.4897959,23.5998382416093,0.4897959,23.54958174127784,0.4897959,23.50356319317871,0.4897959,23.46127118025219,0.4897959,23.42227318748495,0.4897959,23.38620100336824,0.4897959,23.35273921987026,0.4897959,23.32161610289709,0.4897959,23.2925962886132,0.4897959,23.26547489642266,0.4897959,23.24007274941669,0.4897959,23.21623246712174,0.4897959,23.19381525041829,0.4897959,23.17269821964385,0.4897959,23.15277219784727,0.4897959,23.13393985460864,0.4897959,23.11611414373287,0.4897959,23.09921698187209
0.5306122,23.69754558968059,0.5306122,23.70005585649549,0.5306122,23.39828392153701,0.5306122,23.06926157678862,0.5306122,22.76974255687323,0.5306122,22.50770958648084,0.5306122,22.28037507711571,0.5306122,22.08298182095962,0.5306122,21.91088254317563,0.5306122,21.76002116244816,0.5306122,21.62699571407083,0.5306122,21.50900007440466,0.5306122,21.40373404499757,0.5306122,21.30931323099834,0.5306122,21.22418966704238,0.5306122,21.14708585314326,0.5306122,21.07694151440747,0.5306122,21.01287124806606,0.5306122,20.95413103397651,0.5306122,20.90009177826384,0.5306122,20.85021836705278,0.5306122,20.80405301462893,0.5306122,20.76120195654679,0.5306122,20.72132475399269,0.5306122,20.68412564483154,0.5306122,20.64934650695744,0.5306122,20.61676109892658,0.5306122,20.58617031845283,0.5306122,20.55739827689248,0.5306122,20.53028903175397,0.5306122,20.50470385292197,0.5306122,20.48051892419293,0.5306122,20.45762340177256
0.5714286,21.25447681201507,0.5714286,21.27329261789653,0.5714286,20.863881499329,0.5714286,20.41786442232227,0.5714286,20.01873209694973,0.5714286,19.67729592052129,0.5714286,19.38763187149788,0.5714286,19.14115525836786,0.5714286,18.93001418157516,0.5714286,18.74771964357104,0.5714286,18.58907449930398,0.5714286,18.44995242872537,0.5714286,18.32707582521853,0.5714286,18.21782894251997,0.5714286,18.1201100194777,0.5714286,18.03221713160883,0.5714286,17.95276091814534,0.5714286,17.88059797971735,0.5714286,17.8147799243313,0.5714286,17.75451418942801,0.5714286,17.69913372315433,0.5714286,17.64807335084753,0.5714286,17.60085121206857,0.5714286,17.55705406797627,0.5714286,17.51632558376392,0.5714286,17.47835691485265,0.5714286,17.44287909031624,0.5714286,17.40965680872842,0.5714286,17.37848335200188,0.5714286,17.34917639031367,0.5714286,17.32157450199611,0.5714286,17.2955342707404,0.5714286,17.27092785179115
0.6122449,18.13057187040419,0.6122449,18.16640605170856,0.6122449,17.70427836864787,0.6122449,17.21471709080862,0.6122449,16.79076067356748,0.6122449,16.43848267856614,0.6122449,16.14670540505489,0.6122449,15.90320495375166,0.6122449,15.69787574455255,0.6122449,15.52288096671334,0.6122449,15.37222557547939,0.6122449,15.2413128096176,0.6122449,15.12658978881564,0.6122449,15.02528274231921,0.6122449,14.93520295115992,0.6122449,14.85460488430984,0.6122449,14.78208205806315,0.6122449,14.71649003126312,0.6122449,14.65688896445046,0.6122449,14.6025003642856,0.6122449,14.55267419112821,0.6122449,14.50686360258567,0.6122449,14.46460537490147,0.6122449,14.42550458561529,0.6122449,14.38922252414651,0.6122449,14.35546706991603,0.6122449,14.3239849734733,0.6122449,14.2945556177753,0.6122449,14.2669859401195,0.6122449,14.24110627125807,0.6122449,14.21676690463897,0.6122449,14.19383525092567,0.6122449,14.17219346478459
0.6530612,14.88355239940592,0.6530612,14.93878077921639,0.6530612,14.52125629021201,0.6530612,14.08552685835594,0.6530612,13.716021227466,0.6530612,13.41451818781346,0.6530612,13.16841207383901,0.6530612,12.96538818109572,0.6530612,12.79576827535628,0.6530612,12.65229260654411,0.6530612,12.52954106820508,0.6530612,12.42343438148402,0.6530612,12.33086558104706,0.6530612,12.24943767920418,0.6530612,12.17727779238788,0.6530612,12.11290464227806,0.6530612,12.05513316744745,0.6530612,12.00300507740528,0.6530612,11.95573770417919,0.6530612,11.9126858926884,0.6530612,11.87331328338791,0.6530612,11.83717043484645,0.6530612,11.80387798188825,0.6530612,11.77311354057081,0.6530612,11.74460143003349,0.6530612,11.71810453323309,0.6530612,11.69341779729497,0.6530612,11.67036300220158,0.6530612,11.64878451909005,0.6530612,11.62854584700521,0.6530612,11.60952676674093,0.6530612,11.59162098742669,0.6530612,11.5747341892847
0.6938776,12.04812742845506,0.6938776,12.11975680380371,0.6938776,11.79533802497794,0.6938776,11.45558631585923,0.6938776,11.16970062596817,0.6938776,10.93825614806406,0.6938776,10.75056870954052,0.6938776,10.59654995339732,0.6938776,10.46841883102947,0.6938776,10.36041546380946,0.6938776,10.26828212819703,0.6938776,10.18883906021257,0.6938776,10.11967933623196,0.6938776,10.058955455987,0.6938776,10.00523004117494,0.6938776,9.957370428091942,0.6938776,9.91447335543053,0.6938776,9.875810470077475,0.6938776,9.840788396128998,0.6938776,9.808919113294786,0.6938776,9.779797720927224,0.6938776,9.753085555621119,0.6938776,9.728497234153778,0.6938776,9.705790606695698,0.6938776,9.68475889091237,0.6938776,9.66522445721262,0.6938776,9.647033876346859,0.6938776,9.630053941116323,0.6938776,9.614168446411469,0.6938776,9.59927556452895,0.6938776,9.5852856914619,0.6938776,9.572119668587623,0.6938776,9.559707305673681
0.7346939,9.810226956033953,0.7346939,9.892536534741533,0.7346939,9.661584152527958,0.7346939,9.414610439078285,0.7346939,9.206324655854667,0.7346939,9.037824344454217,0.7346939,8.901352327772921,0.7346939,8.789503310059951,0.7346939,8.696562750452156,0.7346939,8.618305070983899,0.7346939,8.551610651821592,0.7346939,8.494152451086146,0.7346939,8.444170949228052,0.7346939,8.40031698545077,0.7346939,8.361541947891803,0.7346939,8.327020322750327,0.7346939,8.29609440193213,0.7346939,8.26823430541967,0.7346939,8.243008709968393,0.7346939,8.220063152344656,0.7346939,8.199103755632825,0.7346939,8.17988488394036,0.7346939,8.162199675431758,0.7346939,8.145872707763587,0.7346939,8.13075426024314,0.7346939,8.116715783903437,0.7346939,8.103646294336313,0.7346939,8.091449476035416,0.7346939,8.080041340222433,0.7346939,8.069348316839672,0.7346939,8.059305689811211,0.7346939,8.049856305735952,0.7346939,8.040949501919737
0.7755102,8.12041260706299,0.7755102,8.208248371307477,0.7755102,8.051813551228543,0.7755102,7.877974442738793,0.7755102,7.729942376313869,0.7755102,7.609714048932191,0.7755102,7.51214824320417,0.7755102,7.432102956419896,0.7755102,7.365554437129818,0.7755102,7.309506852047323,0.7755102,7.261739159363889,0.7755102,7.22058993948558,0.7755102,7.184800548975691,0.7755102,7.153404640897187,0.7755102,7.125650510614515,0.7755102,7.100946081979236,0.7755102,7.078819502054344,0.7755102,7.058890579659755,0.7755102,7.040849835191491,0.7755102,7.02444295188155,0.7755102,7.009459103235973,0.7755102,6.995722093110596,0.7755102,6.983083559114891,0.7755102,6.971417705921639,0.7755102,6.960617184802405,0.7755102,6.950589840586812,0.7755102,6.941256121402215,0.7755102,6.932546999510291,0.7755102,6.92440228973271,0.7755102,6.916769279745306,0.7755102,6.909601606930982,0.7755102,6.902858331611718,0.7755102,6.896503167794974
