Vstar (L_var=3.5e-07) X,Vstar (L_var=3.5e-07) Y,Vstar (L_var=4.5e-07) X,Vstar (L_var=4.5e-07) Y,Vstar (L_var=5.5e-07) X,Vstar (L_var=5.5e-07) Y,Vstar (L_var=6.5e-07) X,Vstar (L_var=6.5e-07) Y,Vstar (L_var=7.5e-07) X,Vstar (L_var=7.5e-07) Y,Vstar (L_var=8.5e-07) X,Vstar (L_var=8.5e-07) Y,Vstar (L_var=9.5e-07) X,Vstar (L_var=9.5e-07) Y,Vstar (L_var=1.05e-06) X,Vstar (L_var=1.05e-06) Y,Vstar (L_var=1.15e-06) X,Vstar (L_var=1.15e-06) Y,Vstar (L_var=1.25e-06) X,Vstar (L_var=1.25e-06) Y,Vstar (L_var=1.35e-06) X,Vstar (L_var=1.35e-06) Y,Vstar (L_var=1.45e-06) X,Vstar (L_var=1.45e-06) Y,Vstar (L_var=1.55e-06) X,Vstar (L_var=1.55e-06) Y,Vstar (L_var=1.65e-06) X,Vstar (L_var=1.65e-06) Y,Vstar (L_var=1.75e-06) X,Vstar (L_var=1.75e-06) Y,Vstar (L_var=1.85e-06) X,Vstar (L_var=1.85e-06) Y,Vstar (L_var=1.95e-06) X,Vstar (L_var=1.95e-06) Y,Vstar (L_var=2.05e-06) X,Vstar (L_var=2.05e-06) Y,Vstar (L_var=2.15e-06) X,Vstar (L_var=2.15e-06) Y,Vstar (L_var=2.25e-06) X,Vstar (L_var=2.25e-06) Y,Vstar (L_var=2.35e-06) X,Vstar (L_var=2.35e-06) Y,Vstar (L_var=2.45e-06) X,Vstar (L_var=2.45e-06) Y,Vstar (L_var=2.55e-06) X,Vstar (L_var=2.55e-06) Y,Vstar (L_var=2.65e-06) X,Vstar (L_var=2.65e-06) Y,Vstar (L_var=2.75e-06) X,Vstar (L_var=2.75e-06) Y,Vstar (L_var=2.85e-06) X,Vstar (L_var=2.85e-06) Y,Vstar (L_var=2.95e-06) X,Vstar (L_var=2.95e-06) Y,Vstar (L_var=3.05e-06) X,Vstar (L_var=3.05e-06) Y,Vstar (L_var=3.15e-06) X,Vstar (L_var=3.15e-06) Y,Vstar (L_var=3.25e-06) X,Vstar (L_var=3.25e-06) Y,Vstar (L_var=3.35e-06) X,Vstar (L_var=3.35e-06) Y,Vstar (L_var=3.45e-06) X,Vstar (L_var=3.45e-06) Y,Vstar (L_var=3.55e-06) X,Vstar (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.4081633,0.07018943584642751,0.4081633,0.07027906471780131,0.4081633,0.07082038632979054,0.4081633,0.07138850173086435,0.4081633,0.07189110177354928,0.4081633,0.07231889526334499,0.4081633,0.07268159032885646,0.4081633,0.07299098955359865,0.4081633,0.07325721389229381,0.4081633,0.07348830928119622,0.4081633,0.07369057434058049,0.4081633,0.07386895191757342,0.4081633,0.07402735167956045,0.4081633,0.07416889523414343,0.4081633,0.07429609891363714,0.4081633,0.0744110100524546,0.4081633,0.074515309195199,0.4081633,0.07461038736913292,0.4081633,0.07469740501512642,0.4081633,0.07477733733123357,0.4081633,0.07485100947037117,0.4081633,0.07491912409869447,0.4081633,0.07498228315334293,0.4081633,0.07504100515861167,0.4081633,0.07509573911303224,0.4081633,0.07514687570771943,0.4081633,0.07519475645158626,0.4081633,0.07523968114261802,0.4081633,0.07528191402290055,0.4081633,0.07532168887901733,0.4081633,0.07535921329195421,0.4081633,0.07539467219690728,0.4081633,0.07542823087986432
0.4489796,0.0738046359820142,0.4489796,0.07390339795801398,0.4489796,0.07459370883801056,0.4489796,0.07529892417010338,0.4489796,0.0759081269932224,0.4489796,0.07641839378963511,0.4489796,0.07684671902681801,0.4489796,0.07720988050768279,0.4489796,0.07752119514090244,0.4489796,0.07779082265756014,0.4489796,0.07802652162908177,0.4489796,0.07823428052982408,0.4489796,0.07841877882594808,0.4489796,0.0785837173227278,0.4489796,0.07873205631195224,0.4489796,0.07886618920008252,0.4489796,0.0789880705601449,0.4489796,0.07909931161122026,0.4489796,0.07920125216413723,0.4489796,0.0792950153914581,0.4489796,0.07938154994027484,0.4489796,0.07946166262840684,0.4489796,0.07953604406839539,0.4489796,0.07960528893006845,0.4489796,0.07966991210102276,0.4489796,0.07973036168029375,0.4489796,0.07978702950596679,0.4489796,0.07984025974639361,0.4489796,0.07989035595880463,0.4489796,0.07993758692573955,0.4489796,0.07998219150985342,0.4489796,0.08002438271497378,0.4489796,0.08006435110121611
0.4897959,0.07839368807028872,0.4897959,0.07845387777108108,0.4897959,0.07923945439010213,0.4897959,0.08005843451595093,0.4897959,0.08078462943153845,0.4897959,0.08141214967124427,0.4897959,0.08195535579190023,0.4897959,0.08242880713842414,0.4897959,0.08284445928595591,0.4897959,0.0832118787311036,0.4897959,0.08353874738219941,0.4897959,0.08383127482099777,0.4897959,0.0840945123102813,0.4897959,0.0843325948300646,0.4897959,0.08454892962939888,0.4897959,0.08474634357763368,0.4897959,0.08492719836694122,0.4897959,0.08509348065915584,0.4897959,0.08524687279875266,0.4897959,0.08538880850679537,0.4897959,0.08552051697973288,0.4897959,0.08564305802285713,0.4897959,0.08575735022718059,0.4897959,0.08586419372140661,0.4897959,0.08596428866824993,0.4897959,0.08605825040070919,0.4897959,0.08614662188761037,0.4897959,0.08622988406204239,0.4897959,0.08630846442839227,0.4897959,0.08638274427396468,0.4897959,0.08645306474251807,0.4897959,0.08651973197416619,0.4897959,0.08658302147512487
0.5306122,0.08439692593611579,0.5306122,0.08438798676720666,0.5306122,0.08547635402265953,0.5306122,0.08669544941188413,0.5306122,0.08783586353708175,0.5306122,0.08885844169596409,0.5306122,0.0897650956538075,0.5306122,0.09056747934745571,0.5306122,0.09127884265085984,0.5306122,0.09191167531819557,0.5306122,0.09247701467378436,0.5306122,0.09298433181837985,0.5306122,0.09344163947259637,0.5306122,0.09385567607550252,0.5306122,0.09423210173746543,0.5306122,0.09457567883769309,0.5306122,0.09489042794149566,0.5306122,0.09517975798686111,0.5306122,0.09544657312474847,0.5306122,0.0956933596856262,0.5306122,0.09592225677407636,0.5306122,0.09613511360472145,0.5306122,0.09633353618860804,0.5306122,0.09651892549073775,0.5306122,0.09669250875488429,0.5306122,0.09685536534176199,0.5306122,0.09700844814582105,0.5306122,0.09715260143394712,0.5306122,0.09728857577508229,0.5306122,0.09741704059337024,0.5306122,0.09753859477053581,0.5306122,0.0976537756393208,0.5306122,0.09776306664373872
0.5714286,0.09409782314045989,0.5714286,0.09401459548003703,0.5714286,0.09585944015567389,0.5714286,0.09795343717795761,0.5714286,0.09990642715603058,0.5714286,0.1016399818388774,0.5714286,0.1031585504230786,0.5714286,0.1044869012869883,0.5714286,0.1056523244418183,0.5714286,0.1066796409389362,0.5714286,0.1075900793272352,0.5714286,0.1084013635117091,0.5714286,0.1091281565631953,0.5714286,0.1097825655466579,0.5714286,0.1103746057750288,0.5714286,0.1109125952401151,0.5714286,0.1114034776666884,0.5714286,0.1118530824454908,0.5714286,0.1122663321407869,0.5714286,0.1126474077894459,0.5714286,0.112999880744647,0.5714286,0.1133268181880008,0.5714286,0.1136308679564678,0.5714286,0.1139143270993259,0.5714286,0.1141791975968877,0.5714286,0.1144272319041873,0.5714286,0.1146599703893115,0.5714286,0.1148787722798355,0.5714286,0.1150848413805693,0.5714286,0.1152792475564795,0.5714286,0.1154629447669161,0.5714286,0.1156367862762983,0.5714286,0.1158015375411682
0.6122449,0.1103109165169104,0.6122449,0.1100933224935759,0.6122449,0.1129670443694422,0.6122449,0.1161796612427544,0.6122449,0.1191131264915508,0.6122449,0.121665730293208,0.6122449,0.1238642775617793,0.6122449,0.1257608139878866,0.6122449,0.1274057734017952,0.6122449,0.1288420625197553,0.6122449,0.1301047782690783,0.6122449,0.1312222920021664,0.6122449,0.1322175075758825,0.6122449,0.1331089760039545,0.6122449,0.1339118059888616,0.6122449,0.1346383842300981,0.6122449,0.1352989377371954,0.6122449,0.1359019709014364,0.6122449,0.1364546053975642,0.6122449,0.1369628454104713,0.6122449,0.1374317856452298,0.6122449,0.1378657754556625,0.6122449,0.1382685492042761,0.6122449,0.1386433305074364,0.6122449,0.1389929161665133,0.6122449,0.1393197441963621,0.6122449,0.13962594932233,0.6122449,0.1399134085366738,0.6122449,0.1401837787178227,0.6122449,0.1404385278717058,0.6122449,0.1406789612163785,0.6122449,0.1409062430726444,0.6122449,0.1411214153242861
0.6530612,0.1343765215675144,0.6530612,0.1338797342004311,0.6530612,0.1377291303196743,0.6530612,0.1419897189584742,0.6530612,0.1458148807757054,0.6530612,0.1490921978708798,0.6530612,0.1518786007595626,0.6530612,0.1542568546398105,0.6530612,0.1563016738785318,0.6530612,0.1580741184380723,0.6530612,0.1596227658389813,0.6530612,0.1609860799024153,0.6530612,0.1621946153621255,0.6530612,0.1632728009543975,0.6530612,0.164240319889082,0.6530612,0.1651131631152561,0.6530612,0.1659044302721277,0.6530612,0.1666249399298218,0.6530612,0.1672836967057992,0.6530612,0.1678882510641476,0.6530612,0.1684449784373351,0.6530612,0.1689592974105001,0.6530612,0.1694358415995811,0.6530612,0.169878596100164,0.6530612,0.1702910066309757,0.6530612,0.1706760674755807,0.6530612,0.1710363928382563,0.6530612,0.171374275129463,0.6530612,0.1716917328775716,0.6530612,0.1719905503502895,0.6530612,0.1722723105070585,0.6530612,0.1725384225527542,0.6530612,0.1727901450947788
0.6938776,0.1660009002956288,0.6938776,0.1650198128870303,0.6938776,0.1695585150476211,0.6938776,0.1745873100559838,0.6938776,0.1790558285286759,0.6938776,0.1828445021699346,0.6938776,0.1860366696903312,0.6938776,0.1887406758610888,0.6938776,0.1910508198307651,0.6938776,0.1930424515297007,0.6938776,0.1947745470011909,0.6938776,0.1962932173313055,0.6938776,0.1976347207800654,0.6938776,0.1988278016292058,0.6938776,0.1998954538545657,0.6938776,0.2008562415592733,0.6938776,0.2017252887067899,0.6938776,0.2025150245703642,0.6938776,0.2032357489555132,0.6938776,0.2038960640718553,0.6938776,0.2045032072309957,0.6938776,0.2050633093080287,0.6938776,0.2055815972253774,0.6938776,0.2060625538964613,0.6938776,0.2065100455806584,0.6938776,0.2069274240710997,0.6938776,0.2073176092916718,0.6938776,0.2076831565253059,0.6938776,0.2080263114951464,0.6938776,0.2083490557756629,0.6938776,0.2086531444525959,0.6938776,0.2089401375291312,0.6938776,0.2092114262549651
0.7346939,0.2038688818274347,0.7346939,0.2021726170003228,0.7346939,0.2070053904645336,0.7346939,0.212435768101288,0.7346939,0.2172419586276615,0.7346939,0.2212921964153064,0.7346939,0.2246849609311433,0.7346939,0.2275441432180721,0.7346939,0.2299759177723423,0.7346939,0.2320641916858569,0.7346939,0.2338740713802232,0.7346939,0.235456098947725,0.7346939,0.236849776256938,0.7346939,0.238086253585903,0.7346939,0.2391903326520129,0.7346939,0.2401819525449916,0.7346939,0.2410772953034632,0.7346939,0.2418896134437117,0.7346939,0.2426298540217931,0.7346939,0.243307133161079,0.7346939,0.2439291000099846,0.7346939,0.2445022183535391,0.7346939,0.2450319864166035,0.7346939,0.2455231098926773,0.7346939,0.2459796392789016,0.7346939,0.2464050797449721,0.7346939,0.2468024796933464,0.7346939,0.2471745026553566,0.7346939,0.2475234860549541,0.7346939,0.2478514895467162,0.7346939,0.2481603350184934,0.7346939,0.2484516398851608,0.7346939,0.2487268449481631
0.7755102,0.2462929036709829,0.7755102,0.2436573443599909,0.7755102,0.2483912459317741,0.7755102,0.2538723645953713,0.7755102,0.2587341409074938,0.7755102,0.262821965075106,0.7755102,0.2662354276367337,0.7755102,0.2691028382851435,0.7755102,0.2715342092807005,0.7755102,0.2736162699457377,0.7755102,0.2754161167330052,0.7755102,0.2769856780071473,0.7755102,0.2783654168778745,0.7755102,0.2795871477150436,0.7755102,0.2806761287296871,0.7755102,0.2816526103578783,0.7755102,0.2825329844078635,0.7755102,0.2833306420364433,0.7755102,0.2840566191319156,0.7755102,0.2847200858061328,0.7755102,0.2853287208818558,0.7755102,0.2858890009323848,0.7755102,0.2864064253376199,0.7755102,0.2868856930350288,0.7755102,0.2873308424957973,0.7755102,0.2877453634684834,0.7755102,0.2881322868685584,0.7755102,0.2884942576143051,0.7755102,0.2888335940512206,0.7755102,0.289152336750149,0.7755102,0.2894522888257134,0.7755102,0.2897350494419069,0.7755102,0.2900020418085971
